Faculty index,age,residence_building_id,houseno,department,adult family members,child family members
0,58,13,0,EC,1,1
1,36,14,0,,1,2
2,34,13,1,ECE,2,1
3,53,14,1,HS,2,1
4,30,14,2,ECE,1,2
5,58,13,2,CSE,2,1
6,46,14,3,CSE,2,1
7,52,14,4,,1,1
8,55,13,3,CSE,1,2
9,55,13,4,HSS,2,1
10,40,14,5,CS,2,1
11,37,14,6,EC,1,2
12,53,14,7,CS,1,2
13,28,14,8,SC,1,2
14,27,13,5,ECE,1,3
15,42,14,9,EC,1,2
16,51,14,10,SC,1,1
17,50,14,11,CL,1,2
18,51,13,6,HSS,2,1
19,38,14,12,SCI,1,2
20,26,14,13,EC,2,1
21,45,13,7,SC,3,1
22,44,14,14,CS,2,1
23,31,14,15,CSE,1,1
24,57,13,8,EC,1,2
25,57,14,16,EC,1,2
26,50,14,17,CS,1,2
27,31,13,9,CS,1,3
28,51,14,18,CS,1,2
29,38,13,10,CS,1,1
30,26,13,11,SC,2,2
31,37,13,12,IMA,2,1
32,30,14,19,EC,3,1
33,47,13,13,CSE,1,1
34,34,13,14,CS,2,1
35,35,13,15,,1,2
36,26,13,16,,2,1
37,46,13,17,,1,1
38,31,13,18,SCI,1,2
39,57,13,19,HS,2,1
40,58,-1,-1,CSE,0,0
41,46,-1,-1,SC,0,0
42,28,-1,-1,CE,0,0
43,47,-1,-1,CS,0,0
44,51,-1,-1,EC,0,0
45,58,-1,-1,CES,0,0
46,37,-1,-1,ECE,0,0
47,32,-1,-1,,0,0
48,46,-1,-1,ECE,0,0
49,53,-1,-1,CS,0,0
50,48,-1,-1,CSE,0,0
51,50,-1,-1,HS,0,0
52,27,-1,-1,OC,0,0
53,44,-1,-1,CSE,0,0
54,40,-1,-1,,0,0
55,41,-1,-1,,0,0
56,33,-1,-1,HS,0,0
57,48,-1,-1,CEG,0,0
58,33,-1,-1,,0,0
59,44,-1,-1,CSE,0,0
60,27,-1,-1,CEG,0,0
61,52,-1,-1,EC,0,0
62,43,-1,-1,MA,0,0
63,51,-1,-1,,0,0
64,50,-1,-1,,0,0
65,36,-1,-1,,0,0
66,54,-1,-1,CSE,0,0
67,30,-1,-1,ECE,0,0
68,29,-1,-1,CS,0,0
69,50,-1,-1,SC,0,0
70,40,-1,-1,CSE,0,0
71,39,-1,-1,CES,0,0
72,43,-1,-1,HS,0,0
73,27,-1,-1,SCI,0,0
74,48,-1,-1,,0,0
75,51,-1,-1,CS,0,0
76,28,-1,-1,,0,0
77,41,-1,-1,,0,0
78,30,-1,-1,CE,0,0
79,39,-1,-1,CS,0,0
80,56,-1,-1,CSE,0,0
81,43,-1,-1,SC,0,0
82,50,-1,-1,CSE,0,0
83,56,-1,-1,,0,0
84,42,-1,-1,,0,0
85,30,-1,-1,,0,0
86,29,-1,-1,ECE,0,0
87,39,-1,-1,EC,0,0
88,48,-1,-1,HSS,0,0
89,49,-1,-1,HS,0,0
90,27,-1,-1,CLG,0,0
91,28,-1,-1,,0,0
92,42,-1,-1,,0,0
93,51,-1,-1,,0,0
94,31,-1,-1,,0,0
95,27,-1,-1,,0,0
96,35,-1,-1,,0,0
97,27,-1,-1,,0,0
98,40,-1,-1,,0,0
99,37,-1,-1,,0,0
