Student index,age,hostel,mess,year,department,program,batch,inCampus
0,19,Kadamba Nivas,Yuktahaar Mess,2,20161002,B.Tech,20161002,1
1,20,Kadamba Nivas,Yuktahaar Mess,1,20161006,B.Tech,20161006,1
2,19,Kadamba Nivas,Kadamba Mess,2,20161020,B.Tech,20161020,1
3,23,Parijat Nivas,Kadamba Mess,1,20161023,Ph.D,20161023,1
4,20,Kadamba Nivas,Yuktahaar Mess,3,20161025,Ph.D,20161025,1
5,18,Kadamba Nivas,South Mess,2,20161027,Ph.D,20161027,1
6,18,Parijat Nivas,Kadamba Mess,2,20161029,B.Tech,20161029,1
7,23,Parijat Nivas,Kadamba Mess,3,20161047,B.Tech,20161047,1
8,20,Parijat Nivas,South Mess,1,20161056,B.Tech,20161056,1
9,21,Kadamba Nivas,Yuktahaar Mess,1,20161064,B.Tech,20161064,1
10,19,Kadamba Nivas,Kadamba Mess,3,20161074,B.Tech,20161074,1
11,18,Kadamba Nivas,South Mess,2,20161087,Ph.D,20161087,1
12,18,Kadamba Nivas,Yuktahaar Mess,2,20161091,B.Tech,20161091,1
13,21,Kadamba Nivas,Kadamba Mess,3,20161092,B.Tech,20161092,1
14,23,Parijat Nivas,Yuktahaar Mess,4,20161102,Ph.D,20161102,1
15,19,Kadamba Nivas,Yuktahaar Mess,2,20161113,B.Tech,20161113,1
16,20,Kadamba Nivas,Yuktahaar Mess,2,20161135,B.Tech,20161135,1
17,18,Parijat Nivas,South Mess,2,20161137,Ph.D,20161137,1
18,20,Parijat Nivas,Kadamba Mess,3,20161150,B.Tech,20161150,1
19,22,Kadamba Nivas,South Mess,2,20161153,B.Tech,20161153,1
20,19,Kadamba Nivas,Yuktahaar Mess,4,20161157,B.Tech,20161157,1
21,20,Kadamba Nivas,Yuktahaar Mess,2,20161161,B.Tech,20161161,1
22,24,Parijat Nivas,Kadamba Mess,1,20161167,Ph.D,20161167,1
23,23,Kadamba Nivas,Yuktahaar Mess,3,20161180,Ph.D,20161180,1
24,19,Kadamba Nivas,Kadamba Mess,2,20161188,B.Tech,20161188,1
25,18,Kadamba Nivas,Yuktahaar Mess,2,20161201,B.Tech,20161201,1
26,22,Parijat Nivas,Kadamba Mess,1,20161210,B.Tech,20161210,1
27,18,Kadamba Nivas,Kadamba Mess,1,20161211,Ph.D,20161211,1
28,18,Parijat Nivas,Kadamba Mess,1,20161220,B.Tech,20161220,1
29,23,Kadamba Nivas,South Mess,2,20161223,B.Tech,20161223,1
30,21,Kadamba Nivas,Kadamba Mess,1,20161230,B.Tech,20161230,1
31,19,Parijat Nivas,Kadamba Mess,4,20161231,B.Tech,20161231,1
32,18,Kadamba Nivas,South Mess,2,20161237,Ph.D,20161237,1
33,22,Kadamba Nivas,Yuktahaar Mess,1,20161302,Ph.D,20161302,1
34,20,Kadamba Nivas,South Mess,4,20162083,Ph.D,20162083,1
35,22,Kadamba Nivas,South Mess,2,20162147,Ph.D,20162147,1
36,23,Parijat Nivas,Kadamba Mess,3,20163051,B.Tech,20163051,1
37,19,Kadamba Nivas,South Mess,2,20171001,B.Tech,20171001,1
38,22,Kadamba Nivas,Kadamba Mess,2,20171002,B.Tech,20171002,1
39,19,Kadamba Nivas,Kadamba Mess,3,20171003,Ph.D,20171003,1
40,22,Kadamba Nivas,South Mess,2,20171004,B.Tech,20171004,1
41,22,Kadamba Nivas,Yuktahaar Mess,3,20171005,B.Tech,20171005,1
42,19,Kadamba Nivas,South Mess,4,20171006,B.Tech,20171006,1
43,18,Kadamba Nivas,Yuktahaar Mess,1,20171007,B.Tech,20171007,1
44,22,Kadamba Nivas,Yuktahaar Mess,4,20171008,Ph.D,20171008,1
45,21,Kadamba Nivas,Yuktahaar Mess,4,20171009,B.Tech,20171009,1
46,18,Kadamba Nivas,Yuktahaar Mess,1,20171010,B.Tech,20171010,1
47,20,Kadamba Nivas,South Mess,1,20171011,B.Tech,20171011,1
48,21,Kadamba Nivas,Kadamba Mess,3,20171012,B.Tech,20171012,1
49,20,Parijat Nivas,Yuktahaar Mess,2,20171013,Ph.D,20171013,1
50,20,Kadamba Nivas,South Mess,4,20171014,B.Tech,20171014,1
51,24,Parijat Nivas,South Mess,3,20171015,B.Tech,20171015,1
52,20,Kadamba Nivas,South Mess,4,20171016,B.Tech,20171016,1
53,21,Kadamba Nivas,Kadamba Mess,2,20171017,B.Tech,20171017,1
54,21,Kadamba Nivas,Kadamba Mess,4,20171018,Ph.D,20171018,1
55,18,Kadamba Nivas,South Mess,1,20171019,B.Tech,20171019,1
56,19,Kadamba Nivas,South Mess,1,20171020,B.Tech,20171020,1
57,18,Kadamba Nivas,South Mess,2,20171021,B.Tech,20171021,1
58,21,Kadamba Nivas,Kadamba Mess,2,20171022,B.Tech,20171022,1
59,19,Kadamba Nivas,Yuktahaar Mess,1,20171024,B.Tech,20171024,1
60,20,Kadamba Nivas,Yuktahaar Mess,2,20171025,B.Tech,20171025,1
61,23,Kadamba Nivas,Yuktahaar Mess,2,20171026,B.Tech,20171026,1
62,24,Parijat Nivas,Kadamba Mess,3,20171027,B.Tech,20171027,1
63,21,Kadamba Nivas,Kadamba Mess,1,20171028,B.Tech,20171028,1
64,21,Parijat Nivas,South Mess,1,20171029,B.Tech,20171029,1
65,23,Kadamba Nivas,Yuktahaar Mess,2,20171030,B.Tech,20171030,1
66,19,Kadamba Nivas,South Mess,1,20171031,B.Tech,20171031,1
67,23,Parijat Nivas,Yuktahaar Mess,4,20171032,Ph.D,20171032,1
68,18,Kadamba Nivas,Kadamba Mess,2,20171033,B.Tech,20171033,1
69,22,Kadamba Nivas,South Mess,1,20171034,B.Tech,20171034,1
70,18,Kadamba Nivas,Kadamba Mess,1,20171035,B.Tech,20171035,1
