Timestamp,Select your role,Select all your typical working hours on weekdays?,Select all your typical working hours on weekends?,What are your frequent places of visit outside of working hours?,How many times do you usually eat out (Canteen/Restaurants/Eateries) in a week? [-],What are the eateries that you frequently visit?
4/13/2021 15:27:06,Faculty,"10am-1pm, 2pm-6pm",10am-1pm,Kendriya Bhandar,1,None
4/13/2021 15:27:29,Faculty,"10am-1pm, 2pm-6pm, 6pm-8pm",10am-1pm,Kendriya Bhandar,2,Other
4/13/2021 15:27:42,Faculty,"10am-1pm, 2pm-6pm",10am-1pm,"Kendriya Bhandar, Community Center",1,Meal on the wheels
4/13/2021 15:29:51,Staff,10am-1pm,10am-1pm,"Kendriya Bhandar, Library, Computer center, Type C - park, Community Center",1,None
4/13/2021 15:29:52,Faculty,"8am-10am, 10am-1pm, 2pm-6pm","8am-10am, 10am-1pm",Kendriya Bhandar,1,None
4/13/2021 15:30:17,Faculty,"10am-1pm, 2pm-6pm, 6pm-8pm","2pm-6pm, 6pm-8pm",Type B- park,1,None
4/13/2021 15:31:42,Staff,"10am-1pm, 2pm-6pm",10am-1pm,Type C - park,1,Mess
4/13/2021 15:31:50,Faculty,"10am-1pm, 2pm-6pm, 8pm-10pm","10am-1pm, 8pm-10pm","Kendriya Bhandar, Type B- park",1,None
4/13/2021 15:33:07,Faculty,"10am-1pm, 2pm-6pm",8am-10am,Kendriya Bhandar,1,"Meatloaf Shop, Canteen"
4/13/2021 15:33:24,Faculty,8pm-10pm,8pm-10pm,"Type B- park, Cricket Ground",1,None
4/13/2021 15:33:25,Faculty,"10am-1pm, 2pm-6pm",10am-1pm,"Type B- park, Outside Campus",3,Canteen
4/13/2021 15:34:39,Faculty,"8am-10am, 10am-1pm, 2pm-6pm, 6pm-8pm, 8pm-10pm","10am-1pm, 2pm-6pm","Kendriya Bhandar, Library, Computer center",1,None
4/13/2021 15:39:52,Faculty,"10am-1pm, 2pm-6pm, 6pm-8pm","10am-1pm, 2pm-6pm, 6pm-8pm",Type B- park,1,None
4/13/2021 15:42:22,Faculty,"10am-1pm, 2pm-6pm, 8pm-10pm",10am-1pm,"Kendriya Bhandar, Tennis court, Outside Campus",1,Other
