Building,ID
Gymkhana,69
Library,3
Lecture Building,5
Other Hostel of Residence,-1
Hockey Ground,64
Basketball court,67
Football Ground,65
Tennis court,66
Cricket ground,68
Outside Campus,-1
A Department,-1
Computer center,4
Kendriya Bhandar,70
Community Center,22
I don't go anywhere,-1
Other,-1
Lecture Hall Complex,5
I generally eat in mess,-1
Canteen,63
Meal on Wheels-near CSE buildings,56
Meals on Wheels-near ME buildings.,62
Meat Loaf Shop,57
.,-1
B-2,44
B-2 hostel,44
B-3,45
B-5,47
B1,43
B2,44
B3,45
B3 (216),45
B5,47
BLUE 2,44
G,48
G 5,52
G-4,51
G-5,52
G-6,53
G-6 Hostel,53
G4,51
G5,52
G5 hostel,52
G5-354,52
G6,53
Green 5,52
GREEN-5,52
Green-6,53
I 2,42
I am in quarantine,-1
I-2,42
I2,42
NA,-1
NULL,-1
YES,-1
-,-1
Meatloaf Shop,57
Meal on the wheels,56
None,-1
Mess,58
Mess Hall,58
Hockey court,64
Student's Hostel,-1
Jodhpur Club,-1
Site C,54
Hanuman Ji Temple at the Back of TPL Office,-1
Forest behind B type quarters,60
Type B- park,59
Oyo Canteen,-1
Running track,69
Admin Block,1
Cricket Ground,68
Type C - park,54
Hostels n dining,-1
sports ground,68
