Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
EX28002,FIELD WORK,"Abhijit Mukherjee,Arindam Basu",0-0-0,3,--,
EX30008,GEOPHYSICAL SIGNAL PROCESSING,"Arun Singh,Sankar Kumar Nath",3-0-0,3,S3,S-126
EX31006,GRAVITY & MAGNETIC METHODS OF PROSPECTING,William Kumar Mohanty,3-1-0,4,V4,NC334
EX38002,FIELD WORK,"Ravikant Vadlamani,Santanu Kumar Bhowmik",0-0-0,3,--,
EX39006,GRAVITY & MAGNETIC METHODS LAB.,William Kumar Mohanty,0-0-3,2,X,S-123
EX40006,GEOPHYSICAL SIGNAL PROCESSING,"Arun Singh,Sankar Kumar Nath",3-0-0,3,S3,S-126
EX40008,TIME VARYING FIELD AND ELECTROMAGNETIC METHODS,Sudha Agrahari,3-0-0,3,F3,S-123
EX40010,GRAVITY & MAGNETIC METHODS OF PROSPECTING,William Kumar Mohanty,3-0-0,3,V3,NC333
EX41002,ELECTROMAGNETIC METHODS OF PROSPECTING,Shashi Prakash Sharma,3-0-0,3,F3,S-125
EX41004,NUCLEAR GEOPHYSICS,Debashish Sengupta,3-0-0,3,A3,S-123
EX48014,FIELD GEOPHYSICS(SEISMIC METHODS),Probal Sengupta,0-0-0,1,--,
EX48016,FIELD GEOPHYSICS(ELECT AND ELECTROMAG METHODS),Sudha Agrahari,0-0-0,1,--,
EX48018,GEOPHYSICAL FIELDWORK - I,"Probal Sengupta,Sankar Kumar Nath,Shashi Prakash Sharma",0-0-0,6,--,
EX49002,ELECTROMAGNETIC METHODS LABORATORY,Shashi Prakash Sharma,0-0-3,2,J,Electrical & EM Lab
EX49004,NUCLEAR GEOPHYSICS LABORATORY,Debashish Sengupta,0-0-3,2,L,Nuclear Lab
EX49008,TIME VARYING FIELD AND ELECTROMAGNETIC METHODS LAB,Sudha Agrahari,0-0-3,2,L,Electrical & EM Lab
EX49010,GRAVITY & MAGNETIC METHODS OF PROSPECTING LAB.,William Kumar Mohanty,0-0-3,2,J,S-123
EX50002,TECTONICS & GEODYNAMICS,Saibal Gupta,3-0-0,3,E3,NC332
EX50012,MATHEMATICAL MODELLING IN GEOPHYSICS,Paresh Nath Singha Roy,3-0-0,3,A3,S-127
EX50017,GEOPHYSICAL INVERSE THEORY,Chandrani Singh,3-0-0,3,G3,S-126
EX51001,BOREHOLE GEOPHYSICS,Arun Singh,3-0-0,3,F3,S-136
EX52020,PATTERN RECOGNITION IN GEOPHYSICS,Paresh Nath Singha Roy,3-0-0,3,S3,S-127
EX57006,PROJECT,"Abhijit Mukherjee,Paresh Nath Singha Roy",0-0-15,12,--,
EX57008,PROJECT,"Abhijit Mukherjee,Paresh Nath Singha Roy",0-0-9,14,--,
EX58004,COMPREHENSIVE VIVA VOCE,Sudha Agrahari,0-0-0,2,--,
EX58008,COMPREHENSIVE VIVA VOCE,Sudha Agrahari,0-0-0,2,--,
EX58010,FIELD GEOPHYSICS:GRAVITY&MAGNETIC FIELD,William Kumar Mohanty,0-0-0,1,--,
EX58012,FIELD GEOPHYSICS:RADIOMETRIC PROSPECTING,Debashish Sengupta,0-0-0,1,--,
EX58014,FIELD GEOPHYSICS:WELL LOGGING,Paresh Nath Singha Roy,0-0-0,1,--,
EX58016,COMPREHENSIVE VIVA VOCE,"Arun Singh,Melinda Kumar Bera",0-0-0,4,--,
EX58018,GEOPHYSICAL FIELDWORK - II,"Paresh Nath Singha Roy,William Kumar Mohanty",0-0-0,3,--,
EX60004,ADVANCED TECHNIQUES OF MINERAL EXPLORATION,"Mruganka Kumar Panigrahi,Probal Sengupta",4-0-0,4,C4,S-127
EX60030,REMOTE SENSING & GIS,Sabyasachi Maiti,3-0-0,3,B3,S-127
EX60032,ENGINEERING PROPERTIES OF ROCKS & SOILS,Arindam Basu,3-0-0,3,E3,S-127
EX60036,GROUNDWATER EXPLORATION AND MANAGEMENT,"Abhijit Mukherjee,Probal Sengupta",4-0-0,4,D4,S-127
GG20002,THERMODYNAMICS OF GEOL. SYSTEMS,Biswajit Mishra,3-0-0,3,--,
GG20003,PALEONTOLOGY AND STRATIGRAPHY,Shubhabrata Paul,3-0-0,3,B3,S-123
GG20004,PETROLOGY,"Saibal Gupta,Subhasish Das",3-0-0,3,V3,S-216
GG20107,STRUCTURAL GEOLOGY,Manish A Mamtani,3-0-0,3,F3,NC441
GG28002,FIELD WORK (3 WEEKS),"Abhijit Mukherjee,Arindam Basu",0-0-0,3,--,
GG29002,DETERMINATIVE MINERALOGY LABORATORY,Santanu Kumar Bhowmik,0-0-3,2,"X, N",Microscopy Lab.
GG29007,STRUCTURAL GEOLOGY LAB,Manish A Mamtani,0-0-3,2,L,S302
GG30002,STRATIGRAPHY,"Ravikant Vadlamani,Shubhabrata Paul",3-0-0,3,G3,S-125
GG31004,SEDIMENTOLOGY,Melinda Kumar Bera,4-0-0,4,C4,S-125
GG31006,IGNEOUS PETROLOGY,"Dewashish Upadhyay,Sujoy Kanti Ghosh",4-0-0,4,E4,S-125
GG38002,FIELD WORK (3 WEEKS),"Kamal Lochan Pruseth,Sujoy Kanti Ghosh",0-0-0,3,--,
GG39001,IGNEOUS PETROLOGY LAB.,Dewashish Upadhyay,0-0-3,2,J,Microscopy Lab.
GG39008,SEDIMENTOLOGY LAB.,Melinda Kumar Bera,0-0-3,2,P,Microscopy Lab.
GG40004,SEQUENCE STRATIGRAPHY,"Ankur Roy,Sankar Kumar Nath",3-1-0,4,C4,"NC441,NC441"
GG40006,ENVIRONMENTAL HAZARDS AND MITIGATION,"Chandrani Singh,Kamal Lochan Pruseth",3-1-0,4,D4,S-126
GG40008,SEDIMENTARY PETROLOGY,Subhasish Das,3-0-0,3,S3,S-136
GG40010,REMOTE SENSING & GIS,Sabyasachi Maiti,3-0-0,3,B3,NC441
GG40012,APPLIED PALEONTOLOGY,Sanghamitra Ray,3-0-0,3,E3,S-123
GG40014,METAMORPHIC PHASE EQUILIBRIA,Abhijit Bhattacharya,3-0-0,3,A3,S-126
GG48012,FIELD WORK(STRUCTURAL GEOLOGY),"Manish A Mamtani,Mruganka Kumar Panigrahi,Saibal Gupta",0-0-0,2,--,
