Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
EXT1002,SIX SIGMA,Jitesh J Thakkar,3-0-0,3,--,
EXT1005,BUSINESS ANALYTICS FOR MANAGEMENT DECISION,Rudra Prakash Pradhan,3-0-0,3,--,
EXT1084,MANAGEMENT OF INVENTORY SYSTEMS,Pradip Kumar Ray,3-0-0,3,--,
IM21002,PRODUCTION DESIGN AND PROCESS PLANNING,Pradip Kumar Ray,3-1-0,4,D4,208 (E1)
IM21006,OPERATIONS RESEARCH-II,Mamata Jenamani,3-1-0,4,F4,208 (E1)
IM21008,WORK SYSTEM DESIGN,O. Bala Krishna,3-0-0,3,G3,208 (E1)
IM29006,OPERATIONS RESEARCH LAB.,Jitendra Kumar Jha,0-0-3,2,P,101 (ORDS Lab)
IM29008,WORK SYSTEM DESIGN LAB.,"Balagopal G Menon,Goutam Sen",0-0-3,2,"X4, N",302 (WSD Lab)
IM31002,QUALITY ENGINEERING,Sayak Roychowdhury,3-1-0,4,D4,310 (QEDM-Seminar Room)
IM31006,SIMULATION,"Balagopal G Menon,V N Achutha Naikan",3-0-0,3,B3,208 (E1)
IM31010,MANAGEMENT OF INVENTORY SYSTEMS,Pradip Kumar Ray,3-1-0,4,C4,208 (E1)
IM31012,OPTIMISATION AND HEURISTIC METHODS,Sri Krishna Kumar,3-0-0,3,A3,208 (E1)
IM31014,DESIGN FOR ASSEMBLY AND AUTOMATION,Soumyanath Chatterjee,3-0-0,3,B3,205 (C1))
IM37004,DESIGN FOR MANUFACTURABILITY AND ASSEMBLY PROJECT,"Sayak Roychowdhury,Soumyanath Chatterjee",0-0-3,2,L,306 (Design for Manufacturing and Assembly Lab)
IM39003,OPTIMISATION AND HEURISTIC METHODS PROJECT,Akhilesh Kumar,0-0-3,2,N,101 (ORDS Lab)
IM39006,SIMULATION LAB.,Balagopal G Menon,0-0-3,2,L,101 (ORDS Lab)
IM40001,INTRODUCTION TO INDUSTRIAL SAFETY,"Jhareswar Maiti,O. Bala Krishna",2-0-0,2,U2,208 (E1)
IM41082,OPERATIONS RESEARCH,Goutam Sen,3-0-0,3,E3,NC243
IM47003,PROJECT-I,Sri Krishna Kumar,0-0-0,3,--,
IM47004,PROJECT-II,Sri Krishna Kumar,0-0-9,6,--,
IM48002,COMPREHENSIVE VIVA VOCE,Sri Krishna Kumar,0-0-0,2,--,
IM57003,PROJECT - III,Mamata Jenamani,0-0-18,12,--,
IM57004,PROJECT - IV,Mamata Jenamani,0-0-20,13,--,
IM58004,COMPREHENSIVEVIVA VOCE,Mamata Jenamani,0-0-0,2,--,
IM60002,ADVANCED DECISION MODELLING,Akhilesh Kumar,3-1-0,4,"S3, A3",310 (QEDM-Seminar Room)
IM60004,SYSTEMS MODELING AND ANALYSIS,Biswajit Mahanty,3-1-0,4,D4,215 (C3)
IM60006,LOGISTICS SYSTEMS AND MANAGEMENT,Sarada Prasad Sarmah,3-0-0,3,G3,215 (C3)
IM60014,NETWORKS AND PROJECT MANAGEMENT,"Biswajit Mahanty,Jitesh J Thakkar",3-1-0,4,E4,215 (C3)
IM60016,PRODUCTION DESIGN AND PROCESS PLANNING,Pradip Kumar Ray,3-1-0,4,D4,208 (E1)
IM60056,APPLIED MULTIVARIATE STATISTICAL MODELLING - II,"Jhareswar Maiti,Sayak Roychowdhury",4-0-0,4,C4,310 (QEDM-Seminar Room)
IM60068,GAME THEORY AND APPLICATIONS,Sri Krishna Kumar,3-1-0,4,F4,205 (C1))
IM61004,QUALITY ENGINEERING,Sayak Roychowdhury,3-1-0,4,D4,310 (QEDM-Seminar Room)
IM61020,SAFETY ANALYTICS,"Jhareswar Maiti,O. Bala Krishna",3-1-0,4,E4,208 (E1)
IM61026,FACILITY LAYOUT AND DESIGN,Jitendra Kumar Jha,3-1-0,4,"S3, B3",215 (C3)
IM67102,THESIS PART-II,Jitendra Kumar Jha,0-0-0,20,--,
IM68101,COMPREHENSIVE VIVA-VOCE,Goutam Sen,0-0-0,3,--,
IM69002,SEMINAR-II,"Jitesh J Thakkar,Sarada Prasad Sarmah",0-0-3,2,L,215 (C3)
IM69004,INFORMATION SYSTEMS PROJECT,Mamata Jenamani,0-0-3,2,P,306 (Design for Manufacturing and Assembly Lab)
IM70001,DESIGN AND ANALYSIS OF EXPERIMENTS,Jitesh J Thakkar,3-0-0,3,B3,310 (QEDM-Seminar Room)
QE47002,INTERNSHIP,"Jitesh J Thakkar,Sri Krishna Kumar",0-0-0,12,--,
QE48002,COMPREHENSIVE VIVA,Sri Krishna Kumar,0-0-0,2,--,
QE57002,PROJECT(PG - 2),Mamata Jenamani,0-0-18,12,--,
QE58002,COMPREHENSIVE VIVA,Mamata Jenamani,0-0-0,2,--,
QM47002,INTERNSHIP,"Jitesh J Thakkar,Sri Krishna Kumar",0-0-0,12,--,
QM48002,COMPREHENSIVE VIVA,Sri Krishna Kumar,0-0-0,2,--,
QM57002,PROJECT(PG - 2),Mamata Jenamani,0-0-18,12,--,
QM58002,COMPREHENSIVE VIVA,Mamata Jenamani,0-0-0,2,--,
