Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
MA00002,PREPARATORY MATHEMATICS II,"Debapriya Biswas,G P Raja Sekhar",4-1-0,5,--,
MA10002,MATHEMATICS-II,"Asish Ganguly,Debapriya Biswas,Hari Shankar Mahato,Husney Parvez Sarwar,Jitendra Kumar,Prateep Chakraborty,Pratima Panigrahi,Ramakrishna Nanduri,Rupanwita Gayen,Swarup Kumar Panda",3-1-0,4,--,
MA20013,DISCRETE MATHEMATICS,"Rajesh Kannan,Swarup Kumar Panda",3-1-0,4,F4,"NC432,NC432"
MA20102,NUMERICAL SOLUTION OF ORDINARY AND PDE,"P V S N Murthy,Rajni Kant Pandey",3-0-0,3,G3,"NR121, NR322"
MA20104,PROBABILITY & STATISTICS,"Bibhas Adhikari,Buddhananda Banerjee,Somesh Kumar,Swanand Ravindra Khare",3-0-0,3,A3,"NR221, NR322, NR421, NR321"
MA20106,PROBABILITY & STOCHASTIC PROCESSES,"Nitin Gupta,Umesh Chandra Gupta",3-0-0,3,G3,"NR221, NR321"
MA30002,MODERN ALGEBRA,Mousumi Mandal,3-1-0,4,D4,NC141
MA30006,SWITCHING & FINITE AUTOMATA,Ratna Dutta,3-1-0,4,"S3, B3",NC244
MA30014,OPERATION RESEARCH,Mahendra Prasad Biswal,3-0-0,3,A3,NC242
MA30110,ADVANCED NUMERICAL TECHNIQUES,Somnath Bhattacharyya,3-0-0,3,C3,NC331
MA38002,COMPREHENSIVE VIVA,"Mousumi Mandal,Ramakrishna Nanduri",0-0-0,2,--,
MA39014,OPERATION RESEARCH LABORATORY,Debjani Chakraborty,0-0-3,2,J,PC_Lab-V
MA39110,NUMERICAL TECHNIQUES LABORATORY,"Jitendra Kumar,Rupanwita Gayen",0-0-3,2,L,PC_Lab-III
MA40002,INTEGRAL EQUATIONS & VARIATIONAL METHODS,"Hari Shankar Mahato,T Raja Sekhar",3-1-0,4,F4,"NC434,NC434"
MA40004,FILE ORGANIZATION AND DATABASE SYSTEMS,Adrijit Goswami,3-1-0,4,D4,NC132
MA41002,MODERN ALGEBRA,Mousumi Mandal,3-1-0,4,D4,NC141
MA41004,TOPOLOGY,Gnaneshwar Nelakanti,3-1-0,4,C4,NC433
