Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
ME10001,MECHANICS,"ARGHYA DEB,Arun Kumar Samantaray,ARUN KUMAR SAMANTARAY,Goutam Chakraborty,GOUTAM CHAKRABORTY,Jeevanjyoti Chakraborty,JEEVANJYOTI CHAKRABORTY,Kingshook Bhattacharyya,KINGSHOOK BHATTACHARYYA,Manas Kumar Laha,MANAS KUMAR LAHA",3-1-0,4,--,
ME11003,BASIC ENGINEERING MECHANICS,"Arun Kumar Samantaray,Jeevanjyoti Chakraborty,Kingshook Bhattacharyya,Manas Kumar Laha",3-1-0,4,--,
ME19001,INTRODUCTION TO MANUFACTURING PROCESSES,"Aditya Bandopadhyay,Ajay Muljibhai Sidpara,Asimava Roy Choudhury,Nilanjan Das Chakladar,Partha Saha,Sankha Deb,Surjya Kanta Pal,Sushanta Kumar Panda,Vikranth Racherla",0-0-3,2,--,
ME21004,THERMO-FLUID SCIENCE,Purbarun Dhar,3-1-0,4,--,
ME21008,KINEMATICS OF MACHINES,"Anirvan Dasgupta,Kingshook Bhattacharyya",3-0-0,3,E3,
ME21010,GEOMETRIC MODELLING FOR DESIGN AND MANUFACTURE,Cheruvu Siva Kumar,3-1-0,4,D4,
ME22002,THERMODYNAMICS,"Chirag Deepak Kalelkar,Manab Kumar Das,Prasanta Kumar Das,Subhransu Roy",3-1-0,4,F4,
ME22004,DYNAMICS OF MACHINES,Kumar Ray,3-1-0,4,--,
ME29002,MECHANISM SESSIONAL,Anirvan Dasgupta,0-0-3,2,--,
ME30602,DESIGN OF MACHINE ELEMENTS,Vikranth Racherla,3-1-0,4,C4,
ME30604,MACHINES TOOLS AND MACHINING,"Nilanjan Das Chakladar,Partha Pratim Bandyopadhyay,Sankha Deb,Soumitra Paul",3-1-0,4,F4,
ME30606,DYNAMICS OF MACHINES,Kumar Ray,3-0-0,3,--,
ME39602,MACHINE DESIGN PRACTICE,"Biswajit Maiti,Mihir Sarangi,Sanjay Gupta",0-0-3,2,--,
ME39604,MACHINES TOOLS AND MACHINING LAB.,"Ajay Muljibhai Sidpara,Nilanjan Das Chakladar,Partha Pratim Bandyopadhyay,Sankha Deb,Soumitra Paul,Surjya Kanta Pal,Sushanta Kumar Panda",0-0-3,2,--,
ME39606,THERMO FLUIDS LAB. - I,"Aditya Bandopadhyay,Chirag Deepak Kalelkar,Dhananjay Kumar Srivastava,Sandipan Ghosh Moulic,Sourav Mitra,S Ramanujam",0-0-3,2,--,
ME41001,APPLIED THERMO-FLUIDS I,"Dhananjay Kumar Srivastava,Sourav Mitra",3-1-0,4,--,
ME47601,PROJECT-I,"Anandaroop Bhattacharya,Atul Jain,Partha Saha,Sankha Deb",0-0-6,4,--,
ME47602,PROJECT-II,"Anandaroop Bhattacharya,Atul Jain,Partha Saha,Sankha Deb",0-0-9,6,--,
ME47603,PROJECT-I,"Anandaroop Bhattacharya,Atul Jain",0-0-0,3,--,
ME48002,COMPREHENSIVE VIVA,S Ramanujam,0-0-0,2,--,
ME48601,INDUSTRIAL TRAINING,Dhananjay Kumar Srivastava,0-0-0,2,--,
ME48602,COMPREHENSIVE VIVA,S Ramanujam,0-0-0,2,--,
ME48701,SUMMER TRAINING,Dhananjay Kumar Srivastava,0-0-0,2,--,
ME57001,PROJECT,"Kingshook Bhattacharyya,Manab Kumar Das,Partha Saha",0-0-0,10,--,
ME57002,PROJECT,"Kingshook Bhattacharyya,Manab Kumar Das,Partha Saha",0-0-0,15,--,
ME57003,DUAL DEGREE PROJECT - PART I,"Kingshook Bhattacharyya,Manab Kumar Das,Partha Saha",0-0-18,12,--,
ME57004,DUAL DEGREE PROJECT - PART II,"Kingshook Bhattacharyya,Manab Kumar Das,Partha Saha",0-0-20,13,--,
ME58002,COMPREHENSIVEVIVA VOCE,"Kingshook Bhattacharyya,Manab Kumar Das,Partha Saha,S Ramanujam",0-0-0,2,--,
ME58003,COMPREHENSIVE VIVA (UG),S Ramanujam,0-0-0,2,--,
