Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
MI21002,MINE SURVEYING,"Debashish Chakravarty,Rakesh Kumar",3-1-0,4,D4,"NC232,NC232"
MI29002,MINE SURVEYING LABORATORY,"Aditya Kumar Patra,Arun Kumar Majumder,Debashish Chakravarty,Ganga Prasad Karmakar,Kaushik Dey,Khanindra Pathak,Rakesh Kumar,Samir Kumar Pal",0-0-3,2,L,0
MI31002,MINE HAZARDS AND RESCUE,M P Dikshit,3-0-0,3,G3,NC232
MI31004,ECONOMICS OF MINING ENTERPRISES,"Bibhuti Bhusan Mandal,Khanindra Pathak",3-1-0,4,F4,"NC232,NC232"
MI31008,SURFACE MINING,"Kaushik Dey,Khanindra Pathak",3-1-0,4,C4,"NC131,NC131"
MI38002,FIELD TRIPS,"Aditya Kumar Patra,Bibhuti Bhusan Mandal,Biswajit Samanta,Debashish Chakravarty,Ganga Prasad Karmakar,M P Dikshit,Rakesh Kumar,Shantanu Kumar Patel",0-0-0,2,--,
MI39002,MINE HAZARDS AND RESCUE LABORATORY,"Basanta Kumar Prusty,M P Dikshit,Samir Kumar Das,S Suryanarayana Bhamidipati",0-0-3,2,X,0
MI40004,MINE SAFETY & LEGISLATION,Samir Kumar Das,3-0-0,3,D3,0
MI40005,NATURAL GAS ENGINEERING,Ganga Prasad Karmakar,3-0-0,3,A3,0
MI40021,APPLIED ROCK ENGINEERING,"Abhiram Kumar Verma,Rakesh Kumar",3-0-0,3,A3,"NC232,NC232"
MI40036,ADVANCED QUANTITATIVE DECISION MAKING,Ashis Bhattacherjee,3-0-0,3,F3,0
MI40042,TUNNELING & UNDERGROUND SPACE TECHNOLOGY,Shantanu Kumar Patel,3-0-0,3,A3,0
MI45008,SAFETY ENGINEERING,Ashis Bhattacherjee,3-0-0,3,E3,0
MI47004,PROJECT,Biswajit Samanta,0-0-9,6,--,
MI48002,COMPREHENSIVE VIVA-VOCE,Biswajit Samanta,0-0-0,2,--,
MI49001,SAFETY ENGINEERING LAB.,"Abhiram Kumar Verma,Bibhuti Bhusan Mandal",0-0-3,2,N,0
MI50004,SAFETY LEGISLATION & ENVIRONMENTAL LAW,Jayanta Bhattacharyya,3-0-0,3,F3,0
MI50009,OIL AND GAS WELL TESTING AND ENHANCED OIL RECOVERY,Ganga Prasad Karmakar,3-0-0,3,G3,0
MI57002,PROJECT,Aditya Kumar Patra,0-0-22,15,--,
MI58002,COMPREHENSIVE VIVA-VOCE,Aditya Kumar Patra,0-0-3,2,--,
MI59002,NUMERICAL MODELLING LABORATORY-II,"Biswajit Samanta,Shantanu Kumar Patel",0-0-3,2,X,0
MI59006,MINE AUTOMATION AND VIRTUAL REALITY LABORATORY,Debashish Chakravarty,0-0-3,2,J,0
MI60012,ECONOMICS OF MINING ENTERPRISES,Bibhuti Bhusan Mandal,3-0-0,3,--,
MI60020,QUANTITATIVE DECISION MAKING-II,Ashis Bhattacherjee,3-0-0,3,--,
MI60035,PRINCIPLES OF MINE PLANNING,Biswajit Samanta,3-0-0,3,B3,0
MI60036,FLUID POWER IN MINING MACHINERY,Samir Kumar Pal,3-0-0,3,G3,0
MI60042,EXPLOSIVE AND BLAST DESIGN,Kaushik Dey,3-0-0,3,E3,0
MI60045,COAL PREPARATION,Arun Kumar Majumder,3-0-0,3,G3,0
MI60052,CLEAN COAL TECHNOLOGY,"Aditya Kumar Patra,Arun Kumar Majumder",3-0-0,3,A3,0
MI60058,FIRE SAFETY ENGINEERING,Basanta Kumar Prusty,3-0-0,3,G3,0
MI60060,ROCK SLOPE ENGINEERING,"Islavath Sreenivasa Rao,Rakesh Kumar",3-0-0,3,B3,0
MI60064,ROCK DYNAMICS,Abhiram Kumar Verma,3-0-0,3,F3,0
MI60072,ADVANCED SAFETY ENGINEERING,Ashis Bhattacherjee,3-0-0,3,E3,0
MI60078,INDUSTRIAL NOISE AND VIBRATION,Bibhuti Bhusan Mandal,3-0-0,3,S3,0
MI60080,SAFETY LEGISLATION & ENVIRONMENTAL LAW,Jayanta Bhattacharyya,3-0-0,3,F3,0
MI62002,NUMERICAL METHODS FOR SUBSURFACE ENVIRONMENT,S Suryanarayana Bhamidipati,3-1-0,4,C4,0
MI62004,COMPUTATIONAL GEOMECHANICS,Debasis Deb,3-1-0,4,D4,0
MI67106,THESIS PART-II,Bibhuti Bhusan Mandal,0-0-0,20,--,
MI68002,COMPREHENSIVE VIVA VOCE,Bibhuti Bhusan Mandal,0-0-0,3,--,
MI69002,SEMINAR-II,Khanindra Pathak,0-0-3,2,--,
MI69004,GEOMECHANICS LAB.,"Debasis Deb,Rakesh Kumar",0-0-3,2,N,0
MI69006,SUBSURFACE ENVIRONMENT LABORATORY,"Biswajit Samanta,S Suryanarayana Bhamidipati",0-0-3,2,L,0
MI69007,NUMERICAL MODELING LAB,Biswajit Samanta,0-0-3,2,--,
MI69008,"SAFETY, HEALTH AND ENVIRONMENT LAB III (SUBSURFACE ENVIRONMENT)","Biswajit Samanta,S Suryanarayana Bhamidipati",0-0-3,2,L,0
MI69010,"SAFETY, HEALTH AND ENVIRONMENT LAB IV (SAFETY AND HUMAN FACTORS)","Abhiram Kumar Verma,Bibhuti Bhusan Mandal",0-0-3,2,N,0
