Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
MM40002,CLINICAL RESEARCH METHODS,"Budhaditya Mukherjee,Sanjay Bhattacharya",4-0-0,4,C4,0
MM40004,CLINICAL MICROBIOLOGY,"Mahitosh Mandal,Sanjay Bhattacharya",4-0-0,4,D4,0
MM40006,HOSPITAL SKILL DEVELOPMENT,"Praphulla Chandra Shukla,Sanjoy Chatterjee",4-0-0,4,E4,0
MM40008,ANTIMICROBIAL AGENT AND THERAPY,"Nishant Chakravorty,Sanjay Bhattacharya",4-0-0,4,F4,0
MM40011,FUNDAMENTALS OF BIOCHEMISTRY AND CELL BIOLOGY,"Budhaditya Mukherjee,Praphulla Chandra Shukla",3-0-0,3,V3,0
MM41002,GLOBAL HEALTH AND EPIDEMIOLOGY,"Gayatri Mukherjee,Sanjay Bhattacharya",3-1-0,4,V4,0
MM48002,VIVA VOCE,"Budhaditya Mukherjee,Debashree Guha Adhya,Gayatri Mukherjee,Gorachand Dutta,Jyotirmoy Chatterjee,Koel Chaudhury,Mahitosh Mandal,Manjunatha Mahadevappa,Nishant Chakravorty,Praphulla Chandra Shukla,Sangeeta Das Bhattacharya,Santanu Dhara,Soumen Das",0-0-0,2,--,
MM49002,CLINICAL MICROBIOLOGY LABORATORY,"Gayatri Mukherjee,Sanjay Bhattacharya",0-0-3,2,J,0
MM49004,MOLECULAR DIAGNOSTIC LABORATORY,"Praphulla Chandra Shukla,Sanjay Bhattacharya",0-0-3,2,L,0
MM50002,APPLICATIONS OF MASS SPECTROMETRY,"Koel Chaudhury,Sanjay Bhattacharya",4-0-0,4,--,
MM50004,INFECTION CONTROL AND INFECTION MANAGEMENT IN STEM CELL AND ORGAN TRANSPLANTATION,Sanjay Bhattacharya,4-0-0,4,--,
MM50006,LABORATORY ORGANIZATION AND MANAGEMENT,"Sanjay Bhattacharya,S Sriram Prasath",4-0-0,4,--,
MM50008,MOLECULAR TYPING IN MEDICAL MICROBIOLOGY,"Samar Mandal,Sanjay Bhattacharya",4-0-0,4,--,
MM50010,ONCOGENIC VIRUSES AND OTHER MICROBES ASSOCIATED WITH CANCER,"Nishant Chakravorty,Sanjay Bhattacharya",4-0-0,4,--,
MM50018,QUALITY ASSURANCE,"Satadal Saha,Soumen Das",3-0-0,3,G3,0
MM50020,PHYSICS OF NUCLEAR MEDICINE AND INTERNAL DOSIMETRY,"Anurupa Mahata,Indranil Mallick,Soumen Das",3-0-0,3,B3,0
MM50026,CLINICAL NUCLEAR IMAGING-II,"Jayanta Das,Jyotirmoy Chatterjee,Soumendranath Ray",3-0-0,3,A3,0
MM57002,PROJECT,"Budhaditya Mukherjee,Debashree Guha Adhya,Gayatri Mukherjee,Gorachand Dutta,Jyotirmoy Chatterjee,Koel Chaudhury,Mahitosh Mandal,Manjunatha Mahadevappa,Nishant Chakravorty,Praphulla Chandra Shukla,Sangeeta Das Bhattacharya,Santanu Dhara,Soumen Das",0-0-15,12,J,0
MM57004,PROJECT II,"Budhaditya Mukherjee,Debashree Guha Adhya,Gayatri Mukherjee,Gorachand Dutta,Jyotirmoy Chatterjee,Koel Chaudhury,Mahitosh Mandal,Manjunatha Mahadevappa,Nishant Chakravorty,Praphulla Chandra Shukla,Sangeeta Das Bhattacharya,Santanu Dhara,Soumen Das",0-0-15,10,--,
