Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
MS31007,MATERIAL SCIENCE,Prasana Kumar Sahoo,3-0-0,3,U3,0
MS41004,POLYMER TECHNOLOGY,Susanta Banerjee,3-0-0,3,A3,0
MS60006,TECHNIQUES OF MATERIALS CHARACTERIZATION - I,Shibayan Roy,3-0-0,3,F3,0
MS60008,TECHNIQUES OF MATERIALS CHARACTERIZATION - II,Debabrata Pradhan,3-0-0,3,B3,0
MS60009,FUNDAMENTALS OF ELECTRONIC MATERIALS,Vidya Kochat,3-0-0,3,D3,0
MS60028,POLYMER BLENDS AND ALLOYS,Bhanu Bhusan Khatua,3-1-0,4,C4,0
MS60030,SOLAR ENERGY MATERIALS,Pallab Banerji,3-1-0,4,C4,0
MS60032,OPTOELECTRONIC MATERIALS AND DEVICES,Ayan Roy Chaudhuri,3-1-0,4,U4,0
MS60052,INTRODUCTION TO NANOTECHNOLOGY & NANO-STRUCTURED MATERIALS,Chacko Jacob,3-1-0,4,D4,0
MS60056,ADVANCED COMPOSITES,Rajat Kumar Das,3-1-0,4,U4,0
MS60058,TECHNOLOGY OF CERAMICS FOR ELECTRONIC APPLICATIONS,Subhasish Basu Majumder,3-1-0,4,E4,0
MS60066,POLYMERS FOR ELECTRONIC & PHOTONIC APLLICATIONS,Hemakesh Mohapatra,3-1-0,4,D4,0
MS67102,THESIS PART-II,Ayan Roy Chaudhuri,0-0-0,20,--,
MS68101,COMPREHENSIVE VIVA-VOCE,Shibayan Roy,0-0-0,3,--,
MS69002,SEMINAR-II,Prasana Kumar Sahoo,0-0-3,2,N,0
MS69004,ADVANCED LABORATORY,"Bhanu Bhusan Khatua,Chacko Jacob,Shibayan Roy,Susanta Banerjee",0-0-3,2,X,0
MS69008,MATERIALS CHARACTERIZATION LABORATORY,"Debabrata Pradhan,Hemakesh Mohapatra,Rajat Kumar Das,Vidya Kochat",0-0-3,2,P,0
