Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
MT20006,MATERIALS PROCESSING,"Chandra Sekhar Tiwary,Tapas Kumar Bandyopadhyay",3-0-0,3,A3,"NC334,NC334"
MT21008,DEFORMATION BEHAVIOUR OF MATERIALS,"Amlan Dutta,Sumantra Mandal",3-1-0,4,F4,"NC231,NC231"
MT21010,TRANSPORT PHENOMENA IN METALLURGICAL PROCESSES,Tarun Kumar Kundu,3-1-0,4,E4,NC232
MT21104,GENETIC ALGORITHMS IN ENGINEERING PROCESS MODELING,Nirupam Chakraborti,3-0-0,3,E3,NC231
MT29006,MATERIALS PROCESSING LAB.,"Amit Bhaduri,Chandra Sekhar Tiwary,Koushik Biswas,Tapas Kumar Bandyopadhyay",0-0-3,2,"X4, N","MELTING & CASTING LAB, METALLOGRAPHY LAB#POWDER METALLURGY LAB"
MT31012,MATERIAL CHARACTERIZATION,Jayanta Das,3-0-0,3,G3,NC231
MT31022,X-RAY DIFFRACTION & TRANSMISSION ELECTRON MICROSCOPY,Karabi Das,3-1-0,4,D4,NC233
MT32008,IRON MAKING & STEELMAKING,Gour Gopal Roy,3-1-0,4,F4,NC233
MT39004,MATERIALS CHARACTERISATION LAB.,"Chandra Sekhar Tiwary,Jayanta Das,Shampa Aich,Somjeet Biswas",0-0-3,2,"P, X4",MECHANICAL CHARACTERIZATION LAB
MT39022,X-RAY DIFFRACTION & TRANSMISSION ELECTRON MICROSCOPY LABORATORY,"Karabi Das,Siddhartha Das,Tapas Kumar Bandyopadhyay,Tapas Laha",0-0-3,2,"P, X4",COMPUTER LAB#TEM LAB & TEM SAMPLE PREPARATION LAB#X RAY DIFFRACTION LAB
MT41007,JOINING OF METALS,Jyotsna Dutta Majumdar,3-0-0,3,D3,NC443
MT41009,COMPUTER APPLICATIONS IN METALLURGICAL PROCESSES,Amlan Dutta,3-0-0,3,A3,"NC231,NC231"
MT41018,CERAMIC MATERIALS,Koushik Biswas,3-0-0,3,F3,NC444
MT41025,NON DESTRUCTIVE TESTING,Siddhartha Roy,3-0-0,3,V3,NC443
MT41028,ATOMISTIC MODELLING OF MATERIALS,Gour Prasad Das,3-0-0,3,G3,"NC443,NC443"
MT41031,EXTRACTIVE METALLURGY OF NON-FERROUS METALS,Chenna Rao Borra,3-0-0,3,G3,NC442
MT41034,METALLURGICAL FAILURE ANALYSIS,Debalay Chakrabarti,3-0-0,3,F3,NC334
MT41112,SURFACE ENGINEERING,Indranil Manna,3-0-0,3,D3,NC332
MT47002,PROJECT-II,Sumantra Mandal,0-0-9,6,--,
MT48002,COMPREHENSIVE VIVA-VOCE,Sumantra Mandal,0-0-0,2,--,
MT49009,COMPUTER APPLICATIONS IN METALLURGICAL PROCESSES LABORATORY,"Nirupam Chakraborti,Sudipto Ghosh,Tarun Kumar Kundu",0-0-3,2,N,0
MT57004,PROJECT IV,Sumantra Mandal,0-0-22,13,--,
MT58002,COMPREHENSIVE VIVA VOCE,Sumantra Mandal,0-0-0,2,--,
MT60002,METALLURGICAL KINETICS,"Satish Kumar Ajmani,Sujoy Kumar Kar",3-1-0,4,D4,MT ANNEX-4
MT60004,PRINCIPLES AND TECHNIQUES OF MATERIALS CHARACTERIZATION,Siddhartha Das,3-1-0,4,C4,MT ANNEX-4
MT60006,GRAIN BOUNDARIES AND INTERFACES,Sumantra Mandal,3-0-0,3,A3,MT ANNEX-4
MT60024,FRACTURE MECHANICS & ANALYSIS OF ENGG. FAILURES,Indrani Sen,3-1-0,4,F4,MT ANNEX-4
MT60134,BIOMATERIALS,Mangal Roy,3-0-0,3,B3,MT ANNEX-1
MT60148,MAGNETISM & MAGNETIC MATERIALS,Shampa Aich,3-0-0,3,A3,MT ANNEX-1
MT60150,TEXTURE IN MATERIALS ENGINEERING,Somjeet Biswas,3-0-0,3,B3,MT ANNEX-4
MT61128,PHASE TRANSFORMATIONS AND PHASE EQUILIBRIA,Shiv Brat Singh,3-1-0,4,V4,MT ANNEX-4
MT61136,ADVANCED MATERIALS AND PROCESSES,Tapas Laha,3-1-0,4,F4,MT ANNEX-1
MT61138,ADVANCES IRON AND STEEL MAKING,Prodip Kumar Sen,3-1-0,4,E4,MT ANNEX-4
MT61146,ADVANCED ELECTRON MICROSCOPY & ANALYSIS,Rahul Mitra,3-1-0,4,E4,MT ANNEX-1
MT67102,THESIS PART-II,Tarun Kumar Kundu,0-0-0,20,--,
MT68101,COMPREHENSIVE VIVA-VOCE,Tarun Kumar Kundu,0-0-0,3,--,
MT69002,SEMINAR-II,"Debalay Chakrabarti,Gour Prasad Das,Indranil Manna,Jyotsna Dutta Majumdar,Prodip Kumar Sen,Satish Kumar Ajmani",0-0-3,2,"J, X4",MT ANNEX-4
MT69006,FRACTURE MECHANICS & ANALYSIS OF ENGINEERING FAILURES LAB.,"Debalay Chakrabarti,Indrani Sen,Siddhartha Roy",0-0-3,2,L,MACHINE SHOP
MT69008,PHASE TRANSFORMATION LAB.,"Shiv Brat Singh,Sujoy Kumar Kar",0-0-3,2,L,HEAT TREATMENT LAB
MT69014,POWDER METALLURGY LAB. II,"Chenna Rao Borra,Mangal Roy",0-0-3,2,L,POWDER METALLURGY LAB
