Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
NA21001,MARINE HYDRODYNAMICS,Ranadev Datta,3-0-0,3,S3,CL 6
NA21004,SHIP STRENGTH,Arunjyoti Sarkar,3-1-0,4,D4,CL 6
NA29002,LINES PLAN AND HYDROSTATICS LABORATORY,"Kiran Vijayan,Nabanita Datta",0-0-6,4,X,DH 3
NA31002,MARINE DESIGN,"Anirban Bhattacharyya,Vishwanath Nagarajan",3-1-0,4,C4,SR
NA31004,CAD-CAM MARINE DESIGN & PRODUCTION,Ranadev Datta,3-0-0,3,H3,CL 6
NA31006,SEAKEEPING & MANEUVERING,"Debabrata Sen,Nabanita Datta",3-1-0,4,V4,SR
NA39004,CAD-CAM LAB.,"Om Prakash Sha,Vishwanath Nagarajan",0-0-3,2,K,PC_Lab-IV
NA39006,MARINE DESIGN LABORATORY - I,"Anirban Bhattacharyya,Vishwanath Nagarajan",0-0-3,2,X,PC_Lab-IV
NA40010,OFFSHORE TECHNOLOGY,Arunjyoti Sarkar,3-0-0,3,V3,NSR
NA40020,COMPUTATIONAL MARINE HYDRODYNAMICS,Ritwik Ghoshal,3-0-0,3,B3,NSR
NA40024,HIGH PERFORMANCE MARINE VEHICLES,Om Prakash Sha,3-0-0,3,C3,CL 6
NA47004,PROJECT-II,Anirban Bhattacharyya,0-0-9,6,--,
NA48002,COMPREHENSIVE VIVA,Anirban Bhattacharyya,0-0-0,2,--,
NA57004,PROJECT,Ranadev Datta,0-0-20,15,--,
NA58002,COMPREHENSIVE VIVA-VOCE,Ranadev Datta,0-0-0,2,--,
NA60007,COMPOSITES FOR MARINE STRUCTURES,Mohammed Rabius Sunny,3-0-0,3,H3,CL 5
NA60014,HYDROELASTICITY,Trilochan Sahoo,3-0-0,3,E3,SR
NA60022,OCEAN CIRCULATION AND WAVE MODELLING,"Hari V Warrior,Prasad Kumar Bhaskaran",3-0-0,3,U3,CL3
NA60038,OFFSHORE TECHNOLOGY,Arunjyoti Sarkar,3-0-0,3,V3,NSR
NA60048,PORT AND HARBOUR ENGINEERING,Prasad Kumar Bhaskaran,3-1-0,4,F4,CL3
NA60052,DYNAMICS OF OCEAN VEHICLES,Debabrata Sen,3-1-0,4,D4,CL 5
NA60054,CAD-CAM IN MARINE DESIGN & PRODUCTION,Om Prakash Sha,3-1-0,4,F4,CL 6
NA60056,COMPUTATIONAL METHODS IN MARINE HYDRODYNAMICS,Hari V Warrior,3-1-0,4,V4,CL3
NA60060,ADVANCED OCEAN STRUCTURAL ANALYSIS,Kiran Vijayan,3-1-0,4,F4,NSR
NA60064,ADVANCED MARINE PROPULSION,Anirban Bhattacharyya,3-0-0,3,G3,SR
NA67102,THESIS PART-II,Om Prakash Sha,0-0-0,20,--,
NA68101,COMPREHENSIVE VIVA-VOCE,Hari V Warrior,0-0-0,3,--,
NA69002,SEMINAR-II,Hari V Warrior,0-0-3,2,--,
NA69004,SYSTEM DESIGN PROBLEMS,Hari V Warrior,0-0-3,2,--,
