Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
PH00002,PREPARATORY PHYSICS,Sitikantha Dhurjati Das,4-1-0,5,--,
PH09002,PREPARATORY PHYSICS LABORATORY,Sitikantha Dhurjati Das,0-0-3,2,--,
PH11001,PHYSICS,"Debraj Choudhury,Jyotirmoy Bhattacharya,Maruthi Manoj Brundavanam,Sajal Dhara,Sandipan Sengupta",3-1-0,4,--,
PH19001,PHYSICS LAB.,"Amar Nath Gupta,Amreesh Chandra,Dipak Kumar Goswami,Partha Roy Chaudhuri,Pranabendu Gangopadhyay,Sayan Kar,Shivakiran B N Bhaktha,Somnath Bharadwaj,Sugata Pratik Khastgir,Utpal Sarkar",0-0-3,2,--,
PH20101,FLUID MECHANICS AND ELASTICITY,Krishna Kumar,3-0-0,3,A3,NC243
PH21004,THERMAL PHYSICS,Debamalya Banerjee,3-0-0,3,B3,NC142
PH29008,ELECTROMAGNETISM & OPTICS LAB - I,"Amal Kumar Das,Arghya Taraphder",0-0-6,4,"J, N",0
PH39008,ELECTROMAGNETISM & OPTICS LAB - III,"NISHA PAWAR,Partha Roy Chaudhuri,Pranabendu Gangopadhyay,Samudra Roy",0-0-3,2,"P, L, X4, N",0
PH40008,PHYSICS OF RADIATION GENERATORS,Sanjeev Kumar Srivastava,3-0-0,3,G3,NC331
PH41008,MATHEMATICAL METHODS -II,Vishwanath Shukla,3-0-0,3,B3,NC231
PH41009,ORDER AND CHAOS,Arghya Taraphder,3-0-0,3,C3,NC444
PH41010,QUANTUM MECHANICS-II,Kamal Lochan Panigrahi,3-0-0,3,G3,NR123
PH41012,COMPUTATIONAL METHODS,Poornachandra Sekhar Burada,2-0-0,2,E2,NC142
PH41014,CONDENSED MATTER PHYSICS-I,Anushree Roy,3-0-0,3,D3,NC131
PH41016,NUCLEAR AND PARTICLE PHYSICS -I,Ajay Kumar Singh,3-0-0,3,A3,NC431
PH49006,ELECTROMAGNETISM & OPTICS LAB. B,"Partha Roy Chaudhuri,Pranabendu Gangopadhyay,Samudra Roy",0-0-3,2,"P, L, X4, N",0
PH49012,COMPUTATIONAL PHYSICS LAB.,"Poornachandra Sekhar Burada,Vishwanath Shukla",0-0-3,2,J,0
PH49014,CONDENSED MATTER PHYSICS LAB-II,"NISHA PAWAR,Sonjoy Majumder,Tapan Kumar Nath",0-0-6,4,"J, L, N",0
PH49016,NUCLEAR & PARTICLE PHYSICS LAB I,"Ajay Kumar Singh,Kamal Lochan Panigrahi,Sanjeev Kumar Srivastava,Tirtha Sankar Ray",0-0-3,2,"P, L, X4, N",0
PH49018,RADIATION DETECTION AND MEASUREMENT LAB,Ajay Kumar Singh,0-0-3,2,L,0
PH52002,ATOMIC AND MOLECULAR PHYSICS,Shivakiran B N Bhaktha,3-0-0,3,A3,NC142
PH52005,ORDER & CHAOS,Arghya Taraphder,3-0-0,3,C3,NC444
PH58036,INTRODUCTION TO ASTRONOMY & ASTROPHYSICS,Somnath Bharadwaj,3-0-0,3,G3,C226
PH59008,MODERN PHYSICS LAB.,"Anushree Roy,Sudhansu Sekhar Mandal",0-0-3,2,"P, X4",0
PH59010,CONDENSED MATTER PHYSICS LAB-II,"NISHA PAWAR,Sonjoy Majumder,Tapan Kumar Nath",0-0-3,2,"J, L, N",0
PH60016,EXPERIMENTAL TECHNIQUES FOR FUNCTIONAL MATERIALS,Amal Kumar Das,4-0-0,4,D4,C230
PH60030,NON- LINEAR OPTICS,Prasanta Kumar Datta,3-1-0,4,F4,C230
PH60031,ADVANCED CLASSICAL PHYSICS,Sayan Kar,3-1-0,4,F4,C226
PH60044,HIGH ENERGY PHYSICS,Utpal Sarkar,3-1-0,4,"S3, B3",C226
PH60046,ASTROPHYSICS AND COSMOLOGY,Somnath Bharadwaj,3-1-0,4,"S3, G3",C226
PH60048,MAGNETIC AND SUPERCONDUCTING PROPERTIES OF SOLIDS,Tapan Kumar Nath,3-1-0,4,V4,C231
PH60050,THIN FILM TECHNOLOGY,Dipak Kumar Goswami,3-1-0,4,E4,C230
PH60105,SEMICONDUCTOR PHYSICS,Achintya Dhar,3-0-0,3,G3,C230
PH60203,OPTICAL FIBER TECHNOLOGY,Samudra Roy,3-0-0,3,E3,C231
PH60304,INTRODUCTION TO QUANTUM FIELD THEORY II,Sugata Pratik Khastgir,3-0-0,3,D3,C226
PH60307,PHYSICAL COSMOLOGY,Tirtha Sankar Ray,3-0-0,3,E3,NC234
PH60308,GENERAL THEORY OF RELATIVITY,Sayan Kar,3-0-0,3,F3,C226
PH60402,BIOPHYSICS,Amar Nath Gupta,3-0-0,3,G3,C231
PH61008,A VIEW OF CONDENSED MATTER PHYSICS - MODERN CONCEPTS,Sudhansu Sekhar Mandal,3-1-0,4,F4,C231
PH61010,"ATOMIC, MOLECULAR AND QUANTUM INFORMATION SCIENCE",Sonjoy Majumder,3-1-0,4,"S3, B3",C230
PH61012,PHYSICS OF SURFACES AND INTERFACES,Bhupendra Nath Dev,3-1-0,4,V4,C226
PH61014,PHYSICS OF RENEWABLE ENERGY SYSTEMS,Amreesh Chandra,3-1-0,4,E4,C226
PH62002,COMPUTATIONAL METHODS FOR MATERIALS DESIGN,Debamalya Banerjee,2-0-3,4,"C4, X4",0
PH69008,FMD LABORATORY - II,"Achintya Dhar,Gour Prasad Das",0-0-6,4,"J, L",0
