Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
EP60002,MARKETING AND MARKET RESEARCH,Mamoni Banerjee,2-1-0,3,B3,NR123
EP60004,MANUFACTURING MANAGEMENT,Ram Babu Roy,2-1-0,3,B3,NR323
EP60006,MANAGEMENT OF GROWTH VENTURES,Bhaskar Bhowmick,3-0-0,3,B3,NR224
EP60008,ECONOMICS OF ENTREPRENEURSHIP,Prabha Bhola,3-0-0,3,E3,NR223
EP60010,FINANCING NEW VENTURE,Titas Bhattacharjee (Rudra),3-0-0,3,B3,NR223
EP60018,INNOVATION MANAGEMENT,Basab Chakraborty,3-0-0,3,E3,NR224
EP60020,FOUNDATIONS OF ENTREPRENEURSHIP,Manoj Kumar Mondal,3-0-0,3,S3,NR121
EP60040,ENGINEERING B-PLAN DEVELOPMENT - 2,Mrigank Sharad,2-1-0,3,S3,NR324
EP60042,ENGINEERING DESIGN PROCESS,Pranab Kumar Dan,3-0-0,3,E3,NR121
EP60046,CROP PROTECTION CHEMICALS & TECHNOPRENEURSHIP DEVELOPMENT,Mamoni Banerjee,3-0-0,3,E3,NR324
EP67002,PROJECT,"Basab Chakraborty,Bhaskar Bhowmick,Mamoni Banerjee,Manoj Kumar Mondal,Mrigank Sharad,Prabha Bhola,Pranab Kumar Dan,Ram Babu Roy,Titas Bhattacharjee (Rudra)",0-0-3,1,--,
EP67004,PROJECT,"Basab Chakraborty,Bhaskar Bhowmick,Mamoni Banerjee,Manoj Kumar Mondal,Mrigank Sharad,Prabha Bhola,Pranab Kumar Dan,Ram Babu Roy,Titas Bhattacharjee (Rudra)",0-0-3,1,--,
EP67006,PROJECT PRODUCT,"Basab Chakraborty,Bhaskar Bhowmick,Mamoni Banerjee,Manoj Kumar Mondal,Mrigank Sharad,Prabha Bhola,Pranab Kumar Dan,Ram Babu Roy,Titas Bhattacharjee (Rudra)",0-0-0,13,--,
