Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
AE21002,LOW SPEED AERODYNAMICS,Amardip Ghosh,3-1-0,4,E4,0
AE21004,INTRODUCTION TO AEROSPACE STRUCTURES,"Bhrigu Nath Singh,Prasun Jana",3-1-0,4,C4,0
AE21008,INTRODUCTION TO FLIGHT VEHICLE CONTROLS,Sikha Hota,3-0-0,3,F3,0
AE29002,AERODYNAMICS LAB-I,Amardip Ghosh,0-0-3,2,J,0
AE29004,STRUCTURES LAB -I,Anup Ghosh,0-0-3,2,L,0
AE31002,AEROSPACE STRUCTURAL DYNAMICS,Anup Ghosh,3-1-0,4,E4,0
AE31004,AIRCRAFT STABILITY AND CONTROL,Manoranjan Sinha,3-1-0,4,D4,0
AE31006,COMPUTER APPLICATION IN AERO. ENGINEERING,Naba Kumar Peyada,3-0-0,3,V3,0
AE31008,THEORY OF JET PROPULSION,Srinibas Karmakar,3-1-0,4,C4,0
AE31010,VISCOUS FLOW THEORY,Sandeep Saha,3-1-0,4,F4,0
AE39002,SYSTEM LABORATORY,Naba Kumar Peyada,0-0-3,2,J,0
AE39004,PROPULSION LABORATORY,Srinibas Karmakar,0-0-3,2,L,0
AE40006,COMPOSITE STRUCTURES,"Dipak Kumar Maiti,Mohammed Rabius Sunny",3-0-0,3,H3,0
AE40008,AEROELASTICITY,Dipak Kumar Maiti,3-0-0,3,C3,0
AE40010,INTRODUCTION TO AVIONICS,"Sikha Hota,Susmita Bhattacharyya",3-0-0,3,B3,0
AE40018,INTRODUCTION TO TURBULENCE,Somnath Ghosh,3-0-0,3,D3,0
AE40030,ADVANCED GAS TURBINE THEORY,"Bhaskar Roy,Chetankumar Sureshbhai Mistry",3-0-0,3,V3,0
AE40033,FINITE ELEMENT METHODS,Bhrigu Nath Singh,3-0-0,3,D3,0
AE40034,ADVANCED COMPUTATIONAL FLUID DYNAMICS,Akshay Prakash,3-0-0,3,B3,0
AE47005,PROJECT - PART 1,Mira Mitra,0-0-6,4,--,
AE47006,PROJECT - PART 2,Mira Mitra,0-0-9,6,--,
AE47007,PROJECT-I,Mira Mitra,0-0-0,3,--,
AE48002,COMPREHENSIVE VIVA VOCE,Mira Mitra,0-0-0,2,--,
AE49012,FLIGHT TESTING LABORATORY,Sandeep Saha,1-0-3,3,--,
AE51002,ADVANCED GAS TURBINE THEORY,"Bhaskar Roy,Chetankumar Sureshbhai Mistry",3-0-0,3,V3,0
AE51007,COMBUSTION PROCESSES IN JET ENGINES,Ratan Joarder,3-0-0,3,U3,0
AE51016,FRACTURE MECHANICS,Suresh Chandra Pradhan,3-0-0,3,S3,0
AE51018,INDUSTRIAL AERODYNAMICS,Sunil Manohar Dash,3-0-0,3,G3,0
AE51019,SMART STRUCTURES,Mira Mitra,3-0-0,3,F3,0
AE51024,ADVANCED COMPUTATIONAL FLUID DYNAMICS,Akshay Prakash,3-0-0,3,B3,0
AE51026,HYPERSONIC AERODYNAMICS,"Arnab Roy,Kalyan Prasad Sinhamahapatra",3-0-0,3,A3,0
AE57003,PROJECT,Mira Mitra,0-0-15,12,--,
AE57004,PROJECT,"Chetankumar Sureshbhai Mistry,Mira Mitra",0-0-24,13,--,
AE58001,COMPREHENSIVE VIVA VOCE,Mira Mitra,0-0-0,2,--,
AE58002,COMPREHENSIVE VIVA VOCE,Mira Mitra,0-0-0,2,--,
AE60006,INDUSTRIAL AERODYNAMICS,Sunil Manohar Dash,3-0-0,3,G3,0
AE60022,ADVANCED GAS TURBINE THEORY,"Bhaskar Roy,Chetankumar Sureshbhai Mistry",3-0-0,3,V3,0
AE60024,COMBUSTION PROCESSES IN JET ENGINES,Ratan Joarder,3-0-0,3,U3,0
AE60036,FRACTURE MECHANICS,Suresh Chandra Pradhan,3-0-0,3,S3,0
