Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
AR12002,BUILDING MATERIALS,Sumana Gupta,3-0-0,3,C3,0
AR13202,BASIC DESIGN-II AND MODELING,Arjun Mukerji,1-0-5,4,"P, N",0
AR13204,DESCRIPTIVE GEOMETRY-II,Tarak Nath Mazumder,1-0-3,3,O,0
AR22004,WATER SUPPLY AND SANITATION,Arup Das,3-0-0,3,E3,0
AR22006,HISTORY OF ARCHITECTURE-II,Joy Sen,3-0-0,3,S3,0
AR23202,ARCHITECTURAL DESIGN II AND FIELD STUDY,Saikat Kumar Paul,1-0-5,4,O,0
AR23204,BUILDING CONSTRUCTION II,Priyanka Dey,1-0-3,3,N,0
AR23206,COMPUTER AIDED DESIGN AND SIMULATION,"Abraham George,Uttam Kumar Banerjee",1-0-3,3,Q,0
AR32002,ESTIMATION AND COSTING,Priyanka Dey,3-0-0,3,C3,0
AR32004,HOUSING AND COMMUNITY PLANNING,"Haimanti Banerji,Subrata Chattopadhyay",3-0-0,3,F3,0
AR32008,ENERGY EFFICIENT DESIGN,Shankha Pratim Bhattacharya,3-0-0,3,G3,0
AR33202,ARCHITECTURAL DESIGN IV AND FIELD STUDY,Abraham George,1-0-8,6,N,0
AR33204,INTERIOR DESIGN,Jaydip Barman,1-0-3,3,P,0
AR33206,WORKING DRAWING,Priyanka Dey,1-0-3,3,X,0
AR48008,OFFICE TRAINING,Abraham George,0-0-0,4,--,
AR48012,CRITICAL APPRAISAL,Abraham George,0-0-0,2,--,
AR48014,DOCUMENTATION OF INNOVATIVE DETAILS,Abraham George,0-0-0,2,--,
AR48016,FIELD OBSERVATION,Abraham George,0-0-0,2,--,
AR48018,SITE SUPERVISION,Abraham George,0-0-0,2,--,
AR51004,DISASTER RESISTANT BUILDING & MANAGEMENT,Shankha Pratim Bhattacharya,3-0-0,3,F3,0
AR52002,PROFESSIONAL PRACTICE & BUILDING BYELAWS,Abraham George,3-0-0,3,G3,0
AR52010,ARCHITECTURAL CONSERVATION,Arjun Mukerji,3-0-0,3,B3,0
AR57002,PROJECT - II (THESIS),Haimanti Banerji,1-0-8,6,--,
AR57102,PROJECT -II(THESIS),Haimanti Banerji,0-0-12,8,J,0
AR58004,COMPREHENSIVE VIVA-VOCE,Shankha Pratim Bhattacharya,0-0-0,2,--,
AR58102,SEMINAR,"Jaydip Barman,Somnath Sen",0-0-3,2,X,0
AR60002,PLANNING LEGISLATION & PROFESSIONAL PRACTICE,Arup Das,3-0-0,3,B3,0
AR60004,DEVELOPMENT MANAGEMENT & FINANCE,Sumana Gupta,3-0-0,3,E3,0
AR60006,QUANTITATIVE METHODS IN PLANNING,Tarak Nath Mazumder,3-0-0,3,U3,0
AR60038,ADVANCED TRANSPORTATION PLANNING,Debapratim Pandit,3-0-0,3,D3,0
AR60040,ENVIRONMENTAL PLANNING,Somnath Sen,3-0-0,3,U3,0
AR60044,REMOTE SENSING AND GIS IN PLANNING,Saikat Kumar Paul,3-0-0,3,D3,0
AR60046,PLANNING INFORMATICS,Debapratim Pandit,3-0-0,3,U3,0
AR60048,URBAN CONSERVATION STUDIES,Arjun Mukerji,3-0-0,3,A3,0
AR60050,URBAN DESIGN,Haimanti Banerji,3-0-0,3,A3,0
AR60052,REGIONAL ANALYSIS & PROGRAMMING,Joy Sen,3-0-0,3,U3,0
AR60054,LANDSCAPE & RECREATION PLANNING,Uttam Kumar Banerjee,3-0-0,3,A3,0
AR67102,THESIS PART-II,"Debapratim Pandit,Sumana Gupta",0-0-0,20,--,
AR68101,COMPREHENSIVE VIVA VOCE,Somnath Sen,0-0-0,3,--,
AR69002,SEMINAR-II,Subrata Chattopadhyay,0-0-3,2,O,0
AR69004,PLANNING WORKSHOP-II (INCLUDING TWO WEEKS FIELD STUDY),"Arup Das,Tarak Nath Mazumder",0-0-9,6,"P, X4, N",0
