Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
BM40002,INTRODUCTION TO FINANCIAL MANAGEMENT,Chandra Sekhar Mishra,3-0-0,3,B3,NC334
BM40004,INTRODUCTION TO HUMAN BEHAVIOUR IN ORGANISATION,Aradhna Malik,3-0-0,3,B3,NC132
BM40006,FINANCIAL RISK MODELING,Parama Barai,3-0-0,3,B3,NC332
BM40012,DERIVATIVES AND RISK MANAGEMENT,Sujoy Bhattacharya,3-0-0,3,E4,NC333
BM49002,FINANCIAL ANALYTICS,"Parama Barai,Rudra Prakash Pradhan",0-0-3,2,N,NC331
BM50010,COMMODITY DERIVATIVES AND PRICE RISK MODELLING,Prabina Rajib,3-0-0,3,S3,0
BM51002,MARKET MICROSTRUCTURE,"Ajay Kumar Mishra,Arun Kumar Misra",3-0-0,3,--,
BM60008,MARKETING OF INDUSTRIAL AND HIGH TECH PRODUCTS,Biplab Datta,2-0-0,2,--,
BM60014,PURCHASING AND OUTSOURCING,Kunal Kanti Ghosh,2-0-0,2,--,
BM60022,INTERNATIONAL ECONOMICS,Barnali Nag,2-0-0,2,--,
BM60056,GLOBAL MARKETING MANAGEMENT,Biswarup Ghosh,2-0-0,2,--,
BM60066,MANUFACTURING STRATEGY,Sanjib Chowdhury,2-0-0,2,--,
BM60088,SOFTWARE PROJECT MANAGEMENT,Surojit Mookherjee,2-0-0,2,--,
BM60100,ORGANIZATIONAL LEADERSHIP,"Biplab Datta,Susmita Mukhopadhyay",2-0-0,2,--,
BM60102,BUSINESS ETHICS,Susmita Mukhopadhyay,2-0-0,2,--,
BM60112,CORPORATE FINANCE AND FINANCIAL ACCOUNTING,Abhijeet Chandra,3-0-0,3,B3,NC331
BM60114,MARKETING ANALYTICS,"SAPTARSHI SARKAR,Swagato Chatterjee",3-0-0,3,--,
BM60116,MODELLING IN OPERATIONS MANAGEMENT,Amit Upadhyay,4-0-0,4,--,
BM60122,BUSINESS ACCOUNTING & BANKING ANALYTICS,"Arun Kumar Misra,Chandra Sekhar Mishra",2-0-0,2,--,
BM60130,HEALTHCARE ANALYTICS,Ram Babu Roy,2-0-0,2,--,
BM60134,PRODUCT ANALYTICS,"Kunal Kanti Ghosh,RAJESH RAY",2-0-0,2,--,
BM60136,SUPPLY CHAIN ANALYTICS,Anupam Ghosh,2-0-0,2,--,
BM61036,ECONOMETRIC MODELING,Rudra Prakash Pradhan,2-0-0,2,--,
BM61070,E-COMMERCE TECHNOLOGY & APPLICATION,Saini Das,2-0-0,2,--,
BM61101,COMMODITY DERIVATIVES & RISK MANAGEMENT,Prabina Rajib,2-0-0,2,--,
BM61102,CONSUMER BEHAVIOUR ANALYSIS,Sangeeta Sahney,2-0-0,2,--,
BM61104,INTEGRATED MARKETING COMMUNICATION,Swagato Chatterjee,2-0-0,2,--,
BM61110,SALES & DISTRIBUTION MANAGEMENT,Sangeeta Sahney,2-0-0,2,--,
BM61112,SERVICES MARKETING,Sangeeta Sahney,2-0-0,2,--,
BM61134,SIX SIGMA,"Kunal Kanti Ghosh,RABINDRANATH BHATTACHARYA",3-0-0,3,--,
BM61168,"MERGERS, ACQUISITION & CORPORATE RESTRUCTURING",Chandra Sekhar Mishra,2-0-0,2,--,
BM61178,INFRASTRUCTURE & PROJECT FINANCE,Rudra Prakash Pradhan,2-0-0,2,--,
BM62004,BANKING AND FINANCIAL MARKETS ANALYTICS,Arun Kumar Misra,1-0-2,2,--,
BM63002,CORPORATE FINANCE,"Abhijeet Chandra,Ajay Kumar Mishra",2-0-0,2,--,
BM63004,SUPPLY CHAIN MANAGEMENT,M Vimala Rani,2-0-0,2,--,
BM63006,BUSINESS ECONOMETRICS,Tutan Ahmed,2-0-0,2,--,
BM63008,MARKETING MANAGEMENT II,"Biswarup Ghosh,Srabanti Mukherjee",2-0-0,2,--,
BM63010,MARKETING RESEARCH,Srabanti Mukherjee,2-0-0,2,--,
BM63012,HUMAN RESOURCE MANAGEMENT,S Srinivasan,2-0-0,2,--,
BM63014,MACRO ECONOMICS FOR MANAGERS,"Arun Kumar Misra,Barnali Nag,Tutan Ahmed",2-0-0,2,--,
BM63018,DIGITAL MARKETING,Saini Das,2-0-0,2,--,
BM63020,FINANCIAL MARKETS AND INSTITUTIONS,Prabina Rajib,2-0-0,2,--,
