Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
BT21002,CELL & MOLECULAR BIOLOGY,"Abhijit Das,Ananta Kumar Ghosh",3-1-0,4,F4,0
BT29002,CELL & MOLECULAR BIOLOGY LABORATORY,"Agneyo Ganguly,Mrinal Kumar Maiti,Pinaki Sar,Somdeb Bose Dasgupta",0-0-3,2,N,0
BT31006,BIOINFORMATICS,"Ranjit Prasad Bahadur,Riddhiman Dhar",3-0-0,3,G3,0
BT31010,PLANT CELL TISSUE CULTURE,"Mrinal Kumar Maiti,Satyahari Dey",3-1-0,4,"S3, H3",0
BT31014,IMMUNOLOGY,"Agneyo Ganguly,Sudip Kumar Ghosh",3-1-0,4,E4,0
BT39006,PLANT CELL & TISSUE CULTURE LABORATORY,"Mrinal Kumar Maiti,Satyahari Dey",0-0-3,2,X,0
BT39008,BIOINFORMATICS LABORATORY,"Pinaki Sar,Ranjit Prasad Bahadur,Riddhiman Dhar",0-0-3,2,K,0
BT41012,DOWNSTREAM PROCESSING,"Agneyo Ganguly,Tapas Kumar Maiti",3-0-0,3,H3,0
BT41014,METABOLIC ENGINEERING,"Amit Ghosh,Pinaki Sar,Ramkrishna Sen",3-0-0,3,D3,0
BT41022,NEUROPHYSIOLOGY,"Anindya Sundar Ghosh,Somdeb Bose Dasgupta",3-1-0,4,C4,0
BT47005,PROJECT - PART 1,Ananta Kumar Ghosh,0-0-6,4,--,
BT47006,PROJECT - PART 2,Ananta Kumar Ghosh,0-0-9,6,--,
BT48026,COMPREHENSIVE VIVA VOCE,Ananta Kumar Ghosh,0-0-0,2,--,
BT57002,PROJECT,Ananta Kumar Ghosh,0-0-0,15,--,
BT57004,THESIS (PROJECT) PART II,Ananta Kumar Ghosh,0-0-0,13,--,
BT58002,COMPREHENSIVE VIVA VOCE,Ananta Kumar Ghosh,0-0-0,2,--,
BT60002,RECOMBINANT DNA TECHNOLOGY,"Agneyo Ganguly,Ananta Kumar Ghosh,Anindya Sundar Ghosh",3-1-0,4,"S3, B3",0
BT60004,BIOTECHNOLOGY OF PLANT METABOLITES,"Mrinal Kumar Maiti,Satyahari Dey",3-0-0,3,A3,0
BT60006,INTRODUCTION TO SYSTEMS BIOLOGY,"Amit Ghosh,Riddhiman Dhar",3-0-0,3,V3,0
BT60012,BIOPROCESS PLANT & EQUIPMENT DESIGN,"Debabrata Das,Ramkrishna Sen",3-1-0,4,D4,0
BT60016,TRANSGENIC TECHNOLOGY,"Mrinal Kumar Maiti,Somdeb Bose Dasgupta",3-0-0,3,E3,0
BT61030,PROTEIN ENGINEERING,Amit Kumar Das,3-0-0,3,F3,0
BT69002,SEMINAR-II,"Amit Kumar Das,Debabrata Das,Pinaki Sar",0-0-3,2,J,0
BT69012,PLANT BIOTECHNOLOGY LABORATORY,"Mrinal Kumar Maiti,Satyahari Dey",0-0-3,2,X,0
BT69016,RECOMBINANT DNA TECHNOLOGY LABORATORY,"Agneyo Ganguly,Ananta Kumar Ghosh,Anindya Sundar Ghosh,Arindam Mondal,Dibyendu Samanta,Sudip Kumar Ghosh",0-0-3,2,L,0
