Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
CE13001,ENGINEERING DRAWING AND COMPUTER GRAPHICS,"ANKHI BANERJEE,BHABAGRAHI SAHOO,DILIP KUMAR BAIDYA,MAHENDRA REDDY VANTERU,MANOJ KUMAR TIWARI,MRINAL KAUSHIK,NILANJAN DAS CHAKLADAR,PARAMITA BHATTACHARYA,PARTHA SARATHI GHOSAL,PURBARUN DHAR,RENJI REMESAN,RITWIK GHOSHAL,SHAMIK CHOWDHURY,SHANTANU KUMAR PATEL,SHUBHA VERMA,SUJIT KUMAR DASH,SUSHANTA CHAKRABORTY",1-0-3,3,--,
CE21003,HYDRAULICS,Mohammad Saud Afzal,3-1-0,4,F4,NC333
CE21004,STRUCTURAL ANALYSIS,"Biswanath Banerjee,Puneet Kumar Patra",3-1-0,4,U4,"NC241,NC343"
CE29002,SURVEYING PEACTICE,"Aniruddha Sengupta,Brajesh Kumar Dubey,Debarghya Chakraborty,Puneet Kumar Patra,Sushanta Chakraborty,Venkappayya R Desai",0-0-3,2,"P, X4",0
CE29006,WATER RESOURCES ENGG. LABORATORY,"Mohammad Saud Afzal,Prashanth Reddy Hanmaiahgari,Rajib Maity,Subhasish Dey",0-0-3,2,"P, X4",0
CE31002,FOUNDATION ENGINEERING,Debasis Roy,3-0-0,3,D3,NC241
CE31004,DESIGN OF STEEL STRUCTURES,Damodar Maity,3-0-0,3,A3,NR223
CE31104,STATISTICAL METHODS IN HYDROLOGY,Rajib Maity,3-0-0,3,C3,NR223
CE31111,DESIGN OF HYDRAULIC STRUCTURES,Dhrubajyoti Sen,3-0-0,3,C3,NC243
CE31302,ENVIRONMENTAL ENGINEERING,NA,3-0-0,3,E3,"NC431,NC431,NC431"
CE31306,ENVIRONMENTAL IMPACT ASSESSMENT AND AUDITING,Shubha Verma,3-0-0,3,G3,NC243
CE31404,DYNAMICS OF SOILS AND FOUNDATIONS,Paramita Bhattacharya,3-0-0,3,A3,NC241
CE31408,SOIL-STRUCTURE INTERACTION,Aniruddha Sengupta,3-0-0,3,U3,NC243
CE31510,PAVEMENT DESIGN,M Amarnatha Reddy,3-0-0,3,E3,0
CE39004,DESIGN SESSIONAL,"Damodar Maity,Lingadahally S Ramachandra",0-0-6,4,"P, J","NR421,NR421"
CE39006,STRUCTURAL DETAILING,"Amit Shaw,Shaikh Jahangir Hossain",0-0-3,2,L,"S301,S301"
CE39008,CIVIL ENGG. DRAWING AND EST.,"Biswanath Banerjee,Kousik Deb",0-0-3,2,N,"NC243,NC243"
CE41028,STRUCTURAL HEALTH MONITORING,Nirjhar Dhang,3-0-0,3,V3,NC241
CE41603,HAZARDOUS WASTE MANAGEMENT,Brajesh Kumar Dubey,3-0-0,3,F3,NC331
CE42002,THEORY OF ELASTIC STABILITY,Lingadahally S Ramachandra,3-1-0,4,F4,NR422
CE42006,BEHAVIOUR OF RC STRUCTURES,Arghya Deb,4-0-0,4,D4,NC342
CE47006,PROJECT-II,Dilip Kumar Baidya,0-0-9,6,--,
CE48004,COMPREHENSIVE VIVA-VOCE,Dilip Kumar Baidya,0-0-0,2,--,
CE57004,M.TECH PROJECT - II,"Anirban Dhar,Anjali Pal,Damodar Maity,Kousik Deb,Kusam Sudhakar Reddy",0-0-22,13,--,
CE58002,COMPREHENSIVE VIVA VOCE,"Anirban Dhar,Anjali Pal,Damodar Maity,Kousik Deb,Kusam Sudhakar Reddy",0-0-0,2,--,
CE58003,SEMINAR,Kranthi Kumar Kuna,0-0-3,2,P,0
CE58004,SEMINAR,"Anirban Dhar,Anjali Pal,Damodar Maity,Kousik Deb",0-0-3,2,--,
CE60002,ADVANCED COMPUTATIONAL HYDRAULICS,Anirban Dhar,4-0-0,4,"S3, G3",0
