Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
CH21004,HEAT TRANSFER,"Arnab Atta,Jayanta Chakraborty",3-1-0,4,F4,"NC431,NC431"
CH21008,CHEMICAL ENGINEERING THERMODYNAMICS,"Gargi Das,Manish Kaushal",3-1-0,4,E4,"NC241,NC241"
CH29006,FLUID FLOW LABORATORY AND DESIGN,"Amar Nath Samanta,Koustuv Ray,Manish Kaushal,Monojit Chakraborty,Sirshendu De,Somenath Ganguly",0-0-3,2,"P, L","NC344,NC344,NC344,NC344"
CH29008,FUEL LABORATORY,"Bhaskar Bhaduri,Jayanta Chakraborty,Sonali Sengupta,Sourav Mondal",0-0-3,2,"J, N",0
CH30012,TRANSPORT PHENOMENA,"Manish Kaushal,Sunando Dasgupta",3-1-0,4,E4,"NC141,NC141"
CH30014,CHEMICAL PROCESS TECHNOLOGY,"Bhaskar Bhaduri,Subhabrata Ray",3-0-0,3,C3,"NR122,NR122"
CH30016,COMPUTER AIDED PROCESS ENGINEERING,Koustuv Ray,3-0-0,3,B3,NC433
CH31010,MASS TRANSFER II,"Rabibrata Mukherjee,Sourav Mondal",3-1-0,4,"S3, A3","NC141,NC141"
CH39006,MASS TRANSFER LABORATORY,"Bhaskar Bhaduri,Bhim Charan Meikap,Debasis Sarkar,Harikrishnan G,Narayan Chandra Pradhan,Sunando Dasgupta,Swati Neogi",0-0-3,2,"P, J, L, N",0
CH39020,INSTRUMENTATION AND PROCESS CONTROL LABORATORY,"Amiya Kumar Jana,Debasis Sarkar,Jayanta Chakraborty,Parag Arvind Deshpande",0-0-3,2,"P, N",0
CH39022,PROCESS EQUIPMENT DESIGN-II,"Gargi Das,Jayanta Kumar Basu,Sourav Mondal,Subhabrata Ray",0-0-3,2,"J, L","NC441, NC442, NC441,NC441, NC442,NC442"
CH42006,COMPUTER METHODS IN CHEM. ENGG.,Amiya Kumar Jana,3-0-0,3,G3,NC341
CH42012,SYSTEMS ENGINEERING,Sudipto Chakraborty,3-0-0,3,G3,NC332
CH42014,FUEL TECHNOLOGY,Sonali Sengupta,3-0-0,3,G3,NC342
CH47024,PROJECT-II,Debasis Sarkar,0-0-9,6,--,
CH48014,COMPREHENSIVE VIVA-VOCE,Debasis Sarkar,0-0-0,2,--,
CH57004,M.TECH. PROJECT II,Amiya Kumar Jana,0-0-0,13,--,
CH58002,COMPREHENSIVE VIVA VOCE,Amiya Kumar Jana,0-0-0,2,--,
CH60016,FUNDAMENTALS OF BIOENERGY,Saikat Chakraborty,3-0-0,3,G3,NC343
CH61012,ADVANCED MASS TRANSFER,"Harikrishnan G,Somenath Ganguly",3-1-0,4,D4,"NC431,NC431"
CH61014,ADVANCED HEAT TRANSFER,"Debasis Sarkar,Monojit Chakraborty",3-1-0,4,"S3, A3","NC341,NC341"
CH61016,PROCESS DYNAMICS & CONTROL,"Amar Nath Samanta,Parag Arvind Deshpande",3-1-0,4,F4,"NC234,NC234"
CH62008,NOVEL SEPARATION PROCESSES,Sirshendu De,3-0-0,3,E3,NC343
CH62010,PETROCHEMICAL TECHNOLOGY,Narayan Chandra Pradhan,3-0-0,3,B3,NC333
CH62016,CHEMICAL REACTOR ANALYSIS,Jayanta Kumar Basu,3-1-0,4,C4,NC432
CH62028,PROJECT ENGINEERING AND MANAGEMENT,Sudarsan Neogi,3-0-0,3,G3,NC244
CH62046,MANUFACTURING & CHARACTERISATION OF POLYMER MATRIX COMPOSITES,Swati Neogi,3-1-0,4,"S3, B3",NC343
CH62050,HAZARDOUS WASTE TREATMENT & MANAGEMENT,Bhim Charan Meikap,3-0-0,3,B3,NC341
CH62052,INSTABILITY & PATTERNING IN THIN POLYMER FILM,Rabibrata Mukherjee,3-1-0,4,C4,NC342
CH67102,THESIS PART-II,Harikrishnan G,0-0-0,20,--,
CH68101,COMPREHENSIVE VIVA-VOCE,Somenath Ganguly,0-0-0,3,--,
CH69002,SEMINAR-II,"Monojit Chakraborty,Saikat Chakraborty,Sudarsan Neogi,Sudipto Chakraborty",0-0-3,2,"P, N","NC441,NC441,NC441,NC441"
CH69004,DESIGN II,"Manish Kaushal,Parag Arvind Deshpande",0-0-3,2,J,CAPE Lab
CH70002,TRANSPORT IN POROUS MEDIA,Somenath Ganguly,3-0-0,3,E3,NC334
CH71002,COMPUTATIONAL MODELING OF MULTIPHASE REACTIVE FLOWS,Arnab Atta,3-1-0,4,C4,NC434
