Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
CL60002,OCEAN DYNAMICS,"C Shaji,Mihir Kumar Dash",3-1-0,4,C4,Class Room-1
CL60004,GLOBAL TECTONICS AND CLIMATE,"Abhishek Kumar Rai,Pranab Deb",3-1-0,4,D4,Class Room-1
CL60006,OCEAN COLOR AND APPLICATIONS,"Pranab Deb,Prem Chand Pandey",3-0-0,3,A3,Class Room-2
CL60008,AQUEOUS ENVIRONMENTAL GEOCHEMISTRY,Parthasarathi Chakraborty,3-0-0,3,B3,Class Room-2
CL60020,MODELING OF AIR-SEA INTERACTIONS,"Achanta Naga Venkata Satyanarayana,Mihir Kumar Dash",3-0-0,3,B3,Class Room-1
CL60028,LAND SYSTEM STUDIES,Mukunda Dev Behera,3-0-0,3,G3,Class Room-1
CL60030,MARINE BIOGEOCHEMICAL CYCLING,Parthasarathi Chakraborty,3-0-0,3,A3,Class Room-1
CL61012,CLIMATE RISK ASSESSMENT IN AGRICULTURE,Jayanarayanan Kuttippurath,3-1-0,4,F4,Class Room-2
CL61018,COASTAL PROCESSES & ECOSYSTEM,C Shaji,3-1-0,4,E4,Class Room-1
CL61024,CLIMATE MODELING,Achanta Naga Venkata Satyanarayana,3-1-0,4,U4,Class Room-2
CL67102,THESIS PART-II,Mukunda Dev Behera,0-0-0,20,--,
CL68101,COMPREHENSIVE VIVA-VOCE,C Shaji,0-0-0,3,--,
CL69002,SEMINAR-II,C Shaji,0-0-3,2,X,Class Room-1
CL69004,LABORATORY-III(OCEAN AND STORM SURGE MODELING),Arun Chakraborty,0-0-3,2,N,M. Tech. Lab-1
