Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
CR30002,CRYOGENIC SEPARATION PROCESSES,Pavitra Sandilya,3-0-0,3,--,
CR30008,CRYOGENIC ASPECTS OF HYDROGEN ENERGY,Indranil Ghosh,3-0-0,3,C3,0
CR60006,CRYOGENICS & SUPERCONDUCTIVITY FOR PARTICLE ACCELERATOR,Tripti Sekhar Datta,3-0-0,3,F3,0
CR61012,CRYOGENIC PROCESS PLANTS SIMULATION,Parthasarathi Ghosh,1-0-3,3,E4,0
CR61014,UPSTREAM LNG TECHNOLOGY,Pavitra Sandilya,2-0-0,2,U2,0
CR61016,DOWNSTREAM LNG TECHNOLOGY,Kanchan Chowdhury,2-0-0,2,D2,0
CR61018,CRYOGENIC GAS SEPARATION AND PURIFICATION,Pavitra Sandilya,3-0-0,3,A3,0
CR61020,CRYOGENIC CARBON CAPTURE,Pavitra Sandilya,2-0-0,2,F2,0
CR61022,CRYOGENIC EXPANSION DEVICES,Parthasarathi Ghosh,2-0-0,2,C2,0
CR61024,SUPERCONDUCTING DEVICES AND APPLICATIONS,Venimadhav Adyam,3-0-0,3,E3,0
CR61026,SPINTRONIC MATERIALS AND DEVICES,Venimadhav Adyam,3-0-0,3,D3,0
CR61032,CRYOGENIC AIR SEPARATION,Kanchan Chowdhury,3-0-0,3,G3,0
CR61034,SUPERCONDUCTING TECHNOLOGY FOR POWER APPLICATIONS,"Abhay Singh Gour,Vutukuru Vasudeva Rao",3-0-0,3,G3,0
CR61036,CRYOGENIC AND SEMI-CRYOGENIC ROCKET PROPULSION,Tapas Kumar Nandi,3-0-0,3,S3,0
CR61038,CRYOGENIC INSTRUMENTATION,Indranil Ghosh,2-0-0,2,B2,0
CR67102,THESIS PART-II,Indranil Ghosh,0-0-0,20,--,
CR68002,COMPREHENSIVE VIVA VOCE,Pavitra Sandilya,0-0-0,3,--,
CR69002,SEMINAR-II,Abhay Singh Gour,0-0-3,2,N,0
CR69006,CRYOGENIC HEAT TRANSFER LABORATORY,"Abhay Singh Gour,Tapas Kumar Nandi",0-0-3,2,L,0
CR69008,CRYOPHYSICS AND VACUUM TECHNOLOGY LABORATORY,"Abhay Singh Gour,Venimadhav Adyam,Vutukuru Vasudeva Rao",0-0-3,2,X,0
