Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
CS10001,PROGRAMMING AND DATA STRUCTURES,"Dipanwita Roy Chowdhury,Pabitra Mitra,Palash Dey,Pralay Mitra,Sudeshna Sarkar",3-0-0,3,--,
CS19101,PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,"Abir Das,Bivas Mitra,Dipanwita Roy Chowdhury,Jayanta Mukhopadhyay,Krothapalli Sreenivasa Rao,Pabitra Mitra,Pallab Dasgupta,Partha Bhowmick,Pawan Goyal,Somindu Chaya Ramanna,Sudeshna Kolay,Sudeshna Sarkar",0-1-3,3,--,
CS20006,SOFTWARE ENGINEERING,"Debasis Samanta,Sudip Misra",3-0-0,3,G3,"NC234, NC233"
CS21002,SWITCHING CIRCUITS AND LOGIC DESIGN,"Chittaranjan Mandal,Swagato Sanyal",3-1-0,4,C4,"NC231, NC234"
CS21003,ALGORITHMS - I,"Aritra Hazra,Partha Pratim Chakrabarti",3-1-0,4,D4,"NR321,NR321"
CS21004,FORMAL LANGUAGE AND AUTOMATA THEORY,"Abhijit Das,Sudeshna Kolay",3-1-0,4,F4,"NR224, NR223"
CS29002,SWITCHING CIRCUITS LABORATORY,"Chittaranjan Mandal,Debdeep Mukhopadhyay,Swagato Sanyal",0-0-3,2,J,HWLab(Annex)
CS29003,ALGORITHMS LABORATORY,"Abhijit Das,Aritra Hazra",0-0-3,2,L,0
CS29006,SOFTWARE ENGINEERING LABORATORY,"Debasis Samanta,Sudip Misra",0-0-3,2,X,"SWLab(Annex), CSE-Software-Lab"
CS30002,OPERATING SYSTEMS,"Indranil Sengupta,Mainack Mondal",3-0-0,3,A3,"NC132, NC233"
CS31006,COMPUTER NETWORKS,"Rajat Subhra Chakraborty,Sandip Chakraborty",3-0-0,3,B3,"NC241, NC242"
CS31702,COMPUTER ARCHITECTURE AND OPERATING SYSTEM,"Krothapalli Sreenivasa Rao,Rajib Mall",4-0-0,4,D4,"NR224, NR223"
CS39002,OPERATING SYSTEMS LABORATORY,"Indranil Sengupta,Mainack Mondal",0-0-3,2,J,SWLab(Annex)
CS39006,NETWORKS LAB.,"Rajat Subhra Chakraborty,Sandip Chakraborty",0-0-3,2,N,SWLab(Annex)
CS39008,PROJECT SEMINAR,Partha Bhowmick,0-0-3,2,--,
CS40032,PRINCIPLES OF PROGRAMMING LANGUAGES,Partha Pratim Das,3-0-0,3,C3,NC233
CS43002,DATABASE MANAGEMENT SYSTEMS,"Shamik Sural,Soumya Kanti Ghosh",3-0-3,5,D4,"NC242,NC242"
CS43004,COMPUTER GRAPHICS,Partha Bhowmick,3-0-3,5,"F4, N",0
CS47006,PROJECT- PART 2,"Sandip Chakraborty,Sourangshu Bhattacharya",0-0-9,6,--,
CS60003,HIGH PERFORMANCE COMPUTER ARCHITECTURE,"Debdeep Mukhopadhyay,Soumyajit Dey",4-0-0,4,C4,"NC141, NC344"
CS60004,HARDWARE SECURITY,Debdeep Mukhopadhyay,3-0-0,3,S3,CSE-119
CS60010,DEEP LEARNING,Abir Das,3-0-0,3,G3,NR421
CS60012,COMPUTER GRAPHICS,Partha Bhowmick,3-1-0,4,F4,CSE-107
CS60016,AI AND ETHICS,Animesh Mukherjee,3-0-0,3,F3,CSE-120
CS60020,FOUNDATIONS OF ALGORITHM DESIGN & MACHINE LEARNING,"Jayanta Mukhopadhyay,Partha Pratim Das",4-0-0,4,D4,CSE-119
CS60023,APPROXIMATION AND ONLINE ALGORITHMS,Sudebkumar Prasant Pal,3-0-0,3,S3,CSE-108
CS60029,RANDOMIZED ALGORITHM DESIGN,Palash Dey,3-0-0,3,D3,CSE-108
CS60030,FORMAL SYSTEMS,Pallab Dasgupta,3-1-0,4,D4,CSE-107
CS60050,MACHINE LEARNING,Saptarshi Ghosh,3-0-0,3,G3,NR422
CS60052,ADVANCED DIGITAL IMAGE PROCESSING AND COMPUTER VISION,Jayanta Mukhopadhyay,3-0-0,3,A3,CSE-119
CS60064,COMPUTATIONAL GEOMETRY,Bhargab Bikram Bhattacharya,3-0-0,3,S3,CSE-107
CS60075,NATURAL LANGUAGE PROCESSING,Niloy Ganguly,3-0-0,3,D3,NC231
CS60078,COMPLEX NETWORK,Bivas Mitra,3-0-0,3,B3,CSE-119
CS60092,INFORMATION RETRIEVAL,"Pawan Goyal,Saptarshi Ghosh",3-0-0,3,F3,"NC132,NC132"
