Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
EC21004,SIGNALS AND SYSTEMS,Sarang Pendharker,3-1-0,4,C4,NC343
EC21006,ELECTROMAGNETIC ENGINEERING,Arijit De,3-1-0,4,E4,NC244
EC21008,ANALOG ELECTRONIC CIRCUITS,"Bibhudatta Sahoo,Tarun Kanti Bhattacharyya",3-1-0,4,F4,"NR221, NR121"
EC21101,BASIC ELECTRONICS,"Aniket Singha,Bratin Ghosh,Kapil Debnath,Shailendra Kumar Varshney",3-1-0,4,C4,"NR221, NR121, NR322, NR321"
EC29001,BASIC ELECTRONICS LAB.,"Amitabha Bhattacharya,Aniket Singha,Bratin Ghosh,Chetna Singhal,Rajarshi Roy,Rajat Roy,Sant Sharan Pathak,Sarang Pendharker,Shailendra Kumar Varshney,Sudipta Mukhopadhyay",0-0-3,2,"P, X, J, L, N",In Deptt.
EC29004,DEVICES LABORATORY,"Gourab Dutta,Prasanta Kumar Guha",0-0-3,2,"P, N",0
EC29008,ANALOG CIRCUITS LAB.,"Anindya Sundar Dhar,Indrajit Chakrabarti,Kapil Debnath,Tarun Kanti Bhattacharyya",0-0-3,2,"P, J, L, N",0
EC31002,DIGITAL COMMUNICATION,Ritwik Kumar Layek,3-1-0,4,F4,NC343
EC31004,VLSI ENGG.,Gourab Dutta,3-0-0,3,D3,NC244
EC31006,MICROCONTROLLER & EMBEDDED SYSTEMS,Sudip Nag,3-0-0,3,A3,NC244
EC31008,DIGITAL SIGNAL PROCESSING,Goutam Saha,3-1-0,4,C4,NC244
EC39002,DIGITAL COMMUNICATION LABORATORY,"Amitalok Jayant Budkuley,Ritwik Kumar Layek",0-0-3,2,"J, N",0
EC39004,VLSI LABORATORY,"Sudip Nag,Vivek Dixit",0-0-3,2,"J, L",0
EC39006,DSP LABORATORY,"Goutam Saha,Sharba Bandyopadhyay",0-0-3,2,"L, N",0
EC60004,NEURONAL CODING OF SENSORY INFORMATION,Sharba Bandyopadhyay,3-0-0,3,--,
EC60006,VLSI DATA CONVERTER DESIGN,Bibhudatta Sahoo,3-0-0,3,A3,F101
EC60012,ADVANCED OPERATING SYSTEMS DESIGN,Raja Datta,3-1-0,4,D4,F300
EC60042,RF & MICROWAVE INTEGRATED CIRCUITS,Akhilesh Mohan,3-1-0,4,C4,F101
EC60052,TELECOMMUNICATION SWITCHING & NETWORKS,Rajarshi Roy,3-1-0,4,C4,F104
EC60054,MOBILE COMMUNICATIONS AND FADING,Amit Kumar Dutta,3-1-0,4,E4,F104
EC60064,BIOMEDICAL SYSTEM ENGINEERING & AUTOMATION,Sudipta Mukhopadhyay,3-1-0,4,E4,F300
EC60068,MULTIDIMENSIONAL DIGITAL SIGNAL PROCESSING,Debashis Sen,3-1-0,4,D4,A102
EC60074,DESIGN & ANALYSIS OF ALGORITHMS,Santanu Chattopadhyay,3-1-0,4,F4,F102
EC60082,LIGHTWAVE NETWORKS,Aneek Adhya,3-1-0,4,D4,F104
EC60088,RF & MICROWAVE NETWORKS,Rajat Roy,3-1-0,4,E4,F101
EC60090,EMI AND EMC TECHNIQUES,Amitabha Bhattacharya,3-1-0,4,D4,F101
EC60094,RADAR SIGNATURE ANALYSIS AND RADAR IMAGING,Arijit De,3-1-0,4,--,
EC60104,MULTIMEDIA SYSTEMS & APPLICATIONS,Chetna Singhal,3-0-0,3,B3,F300
EC60110,TECHNOLOGY CAD,Vivek Dixit,3-0-0,3,G3,A102
EC60128,LINEAR ALGEBRA AND ERROR CONTROL TECHNIQUES,Amitalok Jayant Budkuley,3-0-0,3,B3,F104
EC60132,SECURE COMMUNICATIONS,Sant Sharan Pathak,3-0-0,3,B3,A102
EC60202,VLSI CAD,Anindya Sundar Dhar,3-1-0,4,E4,F102
EC60204,DIGITAL VLSI CIRCUITS,Indrajit Chakrabarti,3-1-0,4,C4,F102
EC60294,NANOELECTRONICS,Prasanta Kumar Guha,3-0-0,3,B3,F102
EC60296,MIXED SIGNAL AND RF DESIGN,Pradip Mandal,3-0-0,3,S3,A102
EC60324,MILLIMETER WAVE TECHNOLOGY,Mrinal Kanti Mandal,3-0-0,3,B3,F101
EC60502,PATTERN RECOGNITION & IMAGE UNDERSTANDING,"Prabir Kumar Biswas,Saumik Bhattacharya",3-1-0,4,C4,F102
EC60504,COMPUTER COMMUNICATION & NETWORKING,Sudipta Mahapatra,3-0-0,3,A3,F104
EC61032,VISION AND VISUALIZATION,"Debashis Sen,Saumik Bhattacharya",3-1-0,4,--,
EC61036,INTEGRATED NANOPHOTONICS,Basudev Lahiri,3-1-0,4,F4,F104
EC61066,ADAPTIVE SYSTEMS AND SIGNAL PROCESSING,Mrityunjoy Chakraborty,3-1-0,4,F4,A102
EC69012,DESIGN LABORATORY,Mrinal Kanti Mandal,0-0-3,2,P,0
EC69014,DESIGN & SIMULATION LABORATORY - II,Raja Datta,0-0-3,2,J,0
EC69202,VLSI CAD LAB,Pradip Mandal,0-0-3,2,N,0
EC69208,SEMINAR-II,Basudev Lahiri,0-0-3,2,X,0
EC69308,SEMINAR-II,Akhilesh Mohan,0-0-3,2,X,0
EC69402,DESIGN AND SIMULATION LAB-I,Raja Datta,0-0-3,2,J,0
EC69408,SEMINAR-II,Mrityunjoy Chakraborty,0-0-3,2,X,0
EC69502,IMAGE PROCESSING LABORATORY,"Prabir Kumar Biswas,Saumik Bhattacharya",0-0-3,2,L,0
EC69504,COMPUTER COMMUNICATION LABORATORY,Sudipta Mahapatra,0-0-3,2,X,0
EC69508,SEMINAR-II,Debashis Sen,0-0-3,2,N,0
