Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
EE11001,ELECTRICAL TECHNOLOGY,"Amit Patra,Chandan Chakraborty,Gautam Poddar,Nirmalya Ghosh,Saurav Pramanik,Souvik Chattopadhyay",3-1-0,4,--,
EE19001,ELECTRICAL TECHNOLOGY LAB.,"Alok Kanti Deb,Amit Patra,Arun Ghosh,Ashish Ranjan Hota,Aurobinda Routray,Chandan Chakraborty,Dipankar Debnath,Murali Mohan Bosukonda,Nirmalya Ghosh,Rajiv Ranjan Sahay,Sanand Dilip Amita Athalye,Santanu Kapat,Saurav Pramanik,Shambhu Sau,Siddhartha Sen,Sourav Patra,Souvik Chattopadhyay,Suman Maiti,Tanmoy Bhattacharya",0-0-3,2,--,
EE21002,ELECTRICAL MACHINES,"Gautam Poddar,Tapas Kumar Bhattacharyya",3-1-0,4,C4,NC334
EE21004,MEASUREMENTS AND ELECTRONIC INSTRUMENTS,"Avishek Chatterjee,SK MOHAMMADUL HAQUE",3-1-0,4,E4,NR221
EE29002,ELECTRICAL MACHINES LAB.,"Debaprasad Kastha,Gautam Poddar,Shambhu Sau,Tanmoy Bhattacharya,Tapas Kumar Bhattacharyya",0-0-3,2,"P, N",Machines Lab.#NEX201
EE29004,MEASUREMENTS AND ELECTRONIC INSTRUMENTS LAB.,"Ashis Maity,Avishek Chatterjee,Santanu Kapat,SK MOHAMMADUL HAQUE",0-0-3,2,"P, J, L, N",Measurement Lab
EE30004,EMBEDDED SYSTEMS,Aurobinda Routray,3-0-0,3,A3,NC331
EE30012,ELECTROMAGNETIC THEORY & APPL,"Avishek Chatterjee,Tapas Kumar Bhattacharyya",3-0-0,3,B3,"NC344,NC344"
EE31002,POWER SYSTEMS,Debapriya Das,3-1-0,4,C4,NC142
EE39002,POWER SYSTEMS LAB.,"Dheeman Chatterjee,Prabodh Bajpai",0-0-3,2,"J, L, X4",HV Lab.#Machines Lab.#Protection Lab(Relay)
EE39004,EMBEDDED SYSTEMS LAB.,"Alok Kanti Deb,Ashis Maity,Aurobinda Routray,SK MOHAMMADUL HAQUE",0-0-3,2,"P, J, X4, N",Embedded Systems Lab
EE40002,ELECTRIC DRIVES,"Dipankar Debnath,Shambhu Sau",3-0-0,3,F3,"NC443,NC443"
EE40016,INDUSTRIAL AUTOMATION & CONTROL,Alok Kanti Deb,3-1-0,4,E4,N232
EE47006,PROJECT,Aurobinda Routray,0-0-0,15,--,
EE47007,PROJECT - PART 1,Aurobinda Routray,0-0-6,4,--,
EE47008,PROJECT - PART 2,Aurobinda Routray,0-0-9,6,--,
EE47009,PROJECT-I,Aurobinda Routray,0-0-0,3,--,
EE48002,COMPREHENSIVE VIVA VOCE,Debapriya Das,0-0-0,2,--,
