,Timestamp,"When you move outside your hall, with how many people do you usually move together?",How many different friend circles do you have?,"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hall?","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hall 𝗶𝗻 𝗮 𝗱𝗮𝘆?","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆?",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸?,What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hall during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hall of Residence,Your department
0,2021/03/08 11:54:15 am GMT+5:30,1,1,1,4,Tech Market;A Department,1,4,Dreamland,1PM-3PM,I don't go anywhere,9pm-10pm,PG,5th,B R Ambedkar Hall,MT
1,2021/03/08 11:54:36 am GMT+5:30,4,2,5,4,Gymkhana;Library;Main Building;Tech Market;Other Hall of Residence,4,4,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area,9AM-11AM;1PM-3PM;5PM-7PM,Gymkhana;2.2;Main Building;Tech Market;Basketball/Tennis Courts,11pm-12am,UG,3rd,LBS Hall,IM
2,2021/03/08 11:54:40 am GMT+5:30,3,3,5,5,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Tata Sports Complex;2.2;Outside Campus;Nehru Museum,4,10,Your own Hall Canteen;PFC;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Food City;Smart Pind;Subway,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tech Market;Basketball/Tennis Courts,1am-2am,UG,3rd,MMM Hall,IM
3,2021/03/08 11:54:48 am GMT+5:30,2,3,2,7,Library;Tech Market;Outside Campus;A Department,2,7,Your own Hall Canteen;Heritage;Tech Market;Veggies;Tikka,9AM-11AM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Library,11pm-12am,PG,2nd,MMM Hall,ME
4,2021/03/08 11:54:50 am GMT+5:30,2,2,3,4,Library;Main Building;Tech Market;Other Hall of Residence;2.2,1,1,Your own Hall Canteen,3PM-5PM;5PM-7PM,2.2;Library;Tech Market,I usually stay in my room,UG,2nd,RP Hall,MI
6,2021/03/08 11:54:58 am GMT+5:30,2,5,3,2,Library;Main Building;Other Hall of Residence;Outside Campus;A Department,3,0,Your own Hall Canteen;Other Hall Canteens;I generally eat in my hall mess,5PM-7PM;7PM-9PM;9PM-11PM,Tata Sports Complex;Outside Campus;Nehru Museum;Other,1am-2am,UG,4th,LBS Hall,CH
7,2021/03/08 11:54:58 am GMT+5:30,1,4,3,3,Gymkhana;Vikramshila;Nalanda;2.2,2,2,Your own Hall Canteen;PFC;CCD Mio Amore Area;Peep Kitchen;Food City;Smart Pind,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Vikramshila;Nehru Museum,12am-1am,UG,5th,SN-IG Hall,MA
8,2021/03/08 11:55:01 am GMT+5:30,4,4,2,1,Library;Main Building;Tech Market;2.2,0,2,Your own Hall Canteen,7PM-9PM,Main Building;Tech Market,11pm-12am,UG,3rd,Azad Hall,EC
9,2021/03/08 11:55:02 am GMT+5:30,2,2,1,2,Library;Tech Market,1,1,Outside Campus;Tech Market;Peep Kitchen;Smart Pind,3PM-5PM,2.2;Library,10pm-11pm,UG,4th,RP Hall,MT
10,2021/03/08 11:55:05 am GMT+5:30,3,2,5,4,Gymkhana;Library;Main Building;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;2.2;Outside Campus;A Department,2,2,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Veggies;Tikka;Smart Pind;I generally eat in my hall mess,7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Library;Main Building;Nalanda Complex;Tech Market;Nehru Museum,11pm-12am,UG,2nd,Nehru Hall,MA
