Gymkhana,74
Gymkhana Park,76
Library,2
Main Building,5
Tech Market,87
Other Hall of Residence,-1
Tata Sports Complex,100
Basketball/Tennis courts,61
Vikramshila,83
Nalanda,8
2.2,-1
Outside Campus,-1
A Department,-1
Nehru Museum,38
Other,-1
I don't go anywhere,-1
Your own Hall Canteen,-1
PFC,62
Other Hall Canteens,-1
CCD Mio Amore Area,57
Heritage,58
Peep Kitchen,88
Veggies,54
Food City,65
VSRC canteen,103
Dreamland,89
Sahara,90
Super Duper,82
Tikka,111
Billoos,64
Smart Pind,55
Subway,109
I generally eat in my hall mess,-1
Other Halls of Residence,-1
Nalanda Complex,8
Basketball/Tennis Courts,104
Netaji Auditorium,5
Azad Hall,24
B R Ambedkar Hall,0
B C Roy Hall,49
Gokhale Hall,47
HJB Hall,31
JCB Hall,37
Nehru Hall,27
LLR Hall,34
LBS Hall,32
MMM Hall,33
MS Hall,1
MT Hall,46
Nivedita Hall,99
Patel Hall,29
RK Hall,35
Rani Laxmibai Hall,41
RP Hall,36
SAM Hall,48
SN-IG Hall,53
Vidyasagar Hall,39
Zakir Hussain Hall,112
VSRC,103
